Title,Ingredients,Steps,Loves,URL,Bahan
Siomay Udang dan Ayam(Dimsum),250 gr ayam giling--150 gr udang cincang--3 sdm maizena--1 batang wortel parut--4 siung bawang putih--2 sdt kecap ikan--2 sdm minyak wijen--3 sdm air--merica bubuk--secukupnya gula dan garam--bahan untuk kulit siomay--NORI 1 lembar di bagi menjadi empat bagian--,"Campur semua bahan, sisakan parutan wortel untuk di jadikan hiasan di atas siomay.--Masukkan 1sendok penuh isian ke tengah Nori. Bungkus seperti mangkok. Rapikan isi isi nya agar melekat dengan menggunakan minyak / air--Lakukan sampai adonan habis, tambah parutan wortel di atas.--Olesi alas kukusan dengan sedikit minyak--Kukus selama 15-20 menit.--",8,/id/resep/4000903-siomay-udang-dan-ayamdimsum,"ayam, bawang putih, maizena, minyak, wijen, bubuk, merica, garam, gula, udang, kecap, ikan, wortel"
Cumi Asin & Tempe Saus Tiram #bandung_recookochirosi,"100 gr cumi asin--1 papan tempe uk kecil, potong kotak--30 ml saus tiram--150 ml air--Kaldu bubuk, gula pasir--Kecap manis--🌀 Bumbu Serba Iris 🌀--2 siung bawang putih--3 siung bawang merah--3 buah cabe keriting merah--5 buah cabe rawit merah--1 buah tomat uk kecil--1 tangkai daun bawang--","Cuci bersih cumi asin, jemur sebentar, goreng sampai matang, hati2 saat menggoreng, tutup wajannya. Sisihkan.--Panaskan 3 sdm minyak goreng, tumis duo bawang & cabe sampai harum, masukkan tempe & beri air, biarkan tempe 1/2 matang, masukkan cumi, tambahkan saus tiram, gula pasir aduk rata, koreksi rasa jika dirasa kurang asin tambahkan kaldu bubuk. Tambahkan kecap manis, aduk rata. Menjelang diangkat tambahkan tomat & daun bawang, sajikan--",52,/id/resep/4067803-cumi-asin-tempe-saus-tiram-bandung_recookochirosi,"bawang putih, bawang merah, daun bawang, cabe, rawit, bubuk, gula, kaldu, tempe, saus, tiram, kecap, tomat"
Sop iga kambing,1/2 kg iga kambing--10 siung bawang merah--2 siung bawang putih--secukupnya garam--2 sdt lada bubuk--1 sdt gula pasir--1 batang daun bawang--1 batang seledri--1 Buah kentang--1 buah wortel--1/4 buah kubis--secukupnya minyak goreng--1 ruas jahe--1 batang sereh--secukupnya air--1 buah tomat--,"Rebus iga dengan jahe dan sereh supaya tidak bau kambing--Sementara potong bawang merah lalu goreng dan tiriskan--Haluskan bawang putih, garam, lada, gula pasir--Setelah iga sudah direbus sekitar 45menit, buang airnya--Siapkan air dalam panci, masukan wortel dan kentang yang sudah dipotong sesuai selera--Tambahkan bumbu halus dan iga kambing--Setelah mendidih masukan minyak goreng 1sdt, sledri,daun bawang,kubis, bawang merah yang sudah digoreng, tomat--Masak sebentar dan siap disajikan.--",14,/id/resep/3268031-sop-iga-kambing-kitaberbagi,"bawang putih, bawang merah, daun bawang, sereh, minyak, bubuk, garam, gula, jahe, lada, seledri, tomat, wortel, kambing"
Udang buncis saus tiram,1/4 udang segar--1 genggam buncis muda--5 siung Bawang merah--2 siung Bawang putih--10 Cabe setan--2 sdm Saori--Minyak goreng--Air--,Cuci bersih udang buang kepala dan ekornya rendam dengan jeruk nipis--Potong kecil buncis sesuai selera didihkan air rebus sebentar saja--Iris bumbu siapkan minyak unk menggoreng masukan bumbu tumis sampe harum masukan udang aduk rata biarkan sampe udang berubah warna masukan buncis taburkan masako kasih air sedikit tutup--Aduk rata setelah terasa sudah matang angkat dan tidak perlu menambahkan penyedap rasa lg ya bunda saori saja sudah enak koq.... Selamat mencoba :)--,46,/id/resep/3853721-udang-buncis-saus-tiram-sederhana-enak-dan-simple,"bawang putih, bawang merah, cabe, minyak, udang, buncis"
Lumpia isi tahu,"20 lbr Kulit lumpia--1 buah tahu ukuran besar (tahu gede)--2 batang daun bawang--1 ikat daun seledri--Secukupnya kol--1 bks royko ayam--secukupnya Garam, penyedap--1 sdt lada bubuk--10 biji rawit merah--1 butir telur--Putih telur untuk kulit lumpia--","Hancurkan tahu, iris kol daun bawang & seledri, lalu ulek cabe rawit campur semua bahan aduk rata--Siapkan kulit lumpia lalu lipat dan rekatkan ujung nya oles dgn putih telur. lalu goreng sampai kecoklatan dan tiriskan--",8,/id/resep/4416528-lumpia-isi-tahu,"ayam, telur, daun bawang, rawit, bubuk, garam,  tahu , lada, seledri, penyedap, tahu"
Tempe tahu bacem gagal 😅,1 bungkus tahu kulit--1 lembar tempe potong--(bumbu halus)--4 siung bawang merah--5 siung bawang putih--5 buah cabai merah besar--1 ruas kunyit--1 ruas jahe--3 biji kemiri--ketumbar--(bahan pelengkap)--santan kara--ladaku--1 sdt garam--secukupnya gula merah--2 sdm kecap--1/2 bungkus royco sapi--air--,"Tumis bumbu halus di atas yang sudah di uleg dengan cobek--Tambahan 1/2 gelas air, setelah agak mendidih masukan 1/2 sachet santan kara--Masukan tempe dan tahunya--Setelah mendidih tambahkan bahan pelengkap di atas..--Tunggu sampai bumbu mengental dan koreksi rasa--Siapkan wadah untuk penyajiannya--Happy cooking bunda 😄--",10,/id/resep/4409941-tempe-tahu-bacem-gagal-%F0%9F%98%85,"bawang putih, bawang merah, cabai, ketumbar, garam, gula, jahe, kunyit, royco,  tahu , tempe, lada, kecap, sapi, santan, kemiri, tahu"
Botok tahu tempe,1 blok tempe (ukuran setelapak tangan kira2)--1 blok tahu (tadi saya pake 2x ukuran tempe)--200 gr kelapa parut (kurang lebih 1/4 butir)--Bumbu halus:--6 siung bawang merah--3 siung bawang putih--2 buah cabe merah--10 buah cabe rawit (atau sesuai selera)--secukupnya Garam--1/2 sdt Gula pasir--Pelengkap:--Daun untuk membungkus--Tusuk gigi--,"Kukus tahu dan tempe hingga matang, kemudian hancurkan tahu dan tempe di cobek (konsistensinya tergantung selera), taruh di baskom--Haluskan bumbu halus--Campur bumbu halus dengan tahu dan tempe yang sudah di hancurkan, aduk hingga rata--Masukkan kelapa parut, aduk rata--Jika suka beri daun jeruk di bumbu ulek ya (karena kemarin saya lagi gak punya jadi gak saya kasih)--Ambil 1 sendok sayur campuran tahu tempe, taruh di daun yang sudah di bersihkan--Bungkus dan semat dengan tusuk gigi--Lakukan hingga adonan habis--Masukkan di panci kukusan yang sudah dididihkan airnya, kukus hingga matang kurang lebih 30 - 45 menit--Angkat, dan sajikam hangat lebih nikmat--",8,/id/resep/4237152-botok-tahu-tempe,"bawang putih, bawang merah, cabe, rawit, garam, gula,  tahu , tempe, tahu"
Macaroni telur,3 genggam macaroni telur--1 butir telur--Garam--Kaldu jamur--Bumbu kentang goreng Indofood rasa jagung bakar--Boncabe--,"Dalam panci, didihkan air. Rebus macaroni dengan sedikit minyak. Setelah matang tiriskan.--Kocok telur, tambahkan garam, kaldu jamur. Aduk. Tambahkan pula macaroninya. Aduk merata.--Panaskan wajan dengan sedikit minyak. Masukkan macaroni, aduk merata. Masak sampai matang. Sisihkan.--Tambahkan macaroni dengan bumbu kentang goreng indofood, aduk merata. Tambahkan pula dengan boncabe, aduk merata. Koreksi rasa. Jika dirasa cukup, angkat. Sajikan Macaroni Telur dengan taburan keju.. lebih nikmat.--",8,/id/resep/4440566-macaroni-telur,"telur, cabe, garam, kaldu, jamur, macaroni, jagung"
Tumis Tongkol Tauge Pedas,"1 ekor ikan pindang tongkol uk.kecil--Segenggam tauge, buang akar, cuci bersih--50 ml air--secukupnya Minyak goreng--Bumbu-bumbu:--3 butir bawang merah, iris tipis--2 siung bawang putih, iris tipis--1 buah cabe merah besar, belah jadi 2, iris-iris--3 buah cabe rawit merah, iris kecil--1 buah tomat merah, uk.sedang, iris kecil--2 lembar daun jeruk--1 batang serai, ikat simpul /geprek--1 sachet kecap manis--1 sdt air perasan lemon--secukupnya Garam, merica bubuk--","Belah memanjang ikan pindang tongkol, keluarkan duri tengahnya dan potong kira-kira 4 cm, cuci...--Panaskan minyak dan goreng hingga berwarna kecoklatan. Angkat dan tiriskan..--Panaskan minyak secukupnya tumis bawang merah, bawang putih, cabe merah, cabe rawit, tomat, serai dan daun jeruk sampai harum..--Masukkan air dan ikan goreng, tambahkan garam, merica bubuk, kecap manis dan air lemon, aduk rata sampai air sedikit menyusut, menjelang di angkat tambahkan tauge, aduk sebentar. Matikan api.. Sajikan dengan nasi hangat..--",51,/id/resep/4018360-tumis-tongkol-tauge-pedas,"bawang putih, bawang merah, serai, cabe, rawit, minyak, bubuk, merica, garam, daun jeruk,  air , kecap, lemon, ikan, tauge, tomat, tongkol"
Tumis tahu Tauge #Bandung_RecookSariutamikimdonghwa,"1 bungkus tahu uk sedang isi 10--150 gr Togé--3 siung bawang merah--2 siung bawang putih--1 buah tomat--2 siung cabe merah Tanjung--3 siung cabe keriting--Secukupnya daun bawang--Secukupnya garam, gula pasir juga kaldu bubuk--Minyak goreng untuk menggoreng&menumis--300 ml air panas--","Cuci bersih tahu dan Togé, untuk tahu potong potong dadu lalu goreng sampai setengah matang, lalu tiriskan--Panaskan wajan tambahkan minyak,tumis bawang merah bawang putih hingga layu setelah itu baru masukan tomat, cabe merah Tanjung dan juga keriting--Masukan tahu kuning juga Togé aduk aduk, lalu siram dengan air panas,tambahkan garam gula pasir juga kaldu bubuk jangan lupa test rasa,setelah dirasa cukup masukan irisan daun bawang masak hingga macak-macak--Done Tumis tahu tauge siap disajikan--",45,/id/resep/4347861-tumis-tahu-tauge-bandung_recooksariutamikimdonghwa,"bawang putih, bawang merah, daun bawang, cabe, minyak, bubuk, garam, gula, kaldu,  tahu ,  air , tomat, tahu"
