Title,main bahan,Ingredients,Steps,Loves,URL
Udang Saus Asam Manis ,Udang,1/2 Kg Udang uk besar--4 butir bawang putih geprek cincang--1 buah Bawang Bombay iris halus--2 batang daun bawang iris--3 sdm Saus Tomat merk delmonte--2 sdm Saus Tiram--1 sdt lada bubuk--secukupnya garam dan gula pasir--secukupnya air--,"Bersihkan Udang, cuci bersih lalu buang kepala dan cangkang badannya. Setelah itu, belah bagian punggungnya buang kotorannya. Beri garam dan jeruk nipis. Lalu goreng udang di minyak panas sebentar saja, hingga berubah warna kemerahan. Angkat dan tiriskan.--Siapkan wajan, panaskan minyak. Tumis bawang putih cincang dan irisan bawang bombay hingga layu dan harum. Setelah itu masukkan saus tomat, saus tiram, lada bubuk, garam dan gula pasir aduk rata. Tuangkan air secukupnya aduk2.. lalu koreksi rasa.--Bila rasa sudah pas, masukkan udang yg sdh digoreng tadi, aduk rata. Biarkan hingga bumbu meresap. Terakhir masukkan irisan daun bawang aduk rata. Masak sebentar saja,--Angkat dan siap disajikan 👍 enakk beut😊--",57,/id/resep/4469316-udang-saus-asam-manis-%F0%9F%8D%A4
Tumis Labu Udang,Udang,1 buah labu siam--Udang Kupas--Daun salam--Royco/garam gula pasir--Saos tiram--Merica--secukupnya Air--Bumbu isi:--4 baw.merah--2 baw.putih--4 cabe merah--tomat boleh pake boleh engga--,"Tumis bumbu iris sampai harum--Masukkan udang kupas, masak sampai udang berubah warna--Masukkan labu siam yg sudah diparut/diiris halus, tambah sedikit air--Beri merica, royco dan saos tiram lalu masak sebentar lalu angkat, siap sajikan--",9,/id/resep/4467375-tumis-labu-udang
Udang Tumis Cabe Ijo,Udang,Bahan:--1/2 kg Udang Pacet--5 buah Cabe Ijo Besar--5 siung Bawang Merah--4 siung Bawang Putih--1/2 siung Bawang Bombay--5 buah Cabe Rawit Merah (opsional)--1 sdm Minyak Wijen (opsional)--1 sdt Kecap Ikan (opsional)--2 sdt Gula--1 sdt Garam--1 buah Jeruk Nipis / Lemon--secukupnya Air--secukupnya Minyak goreng--,"Kupas kepala udang pacet (kalo saya hanya kepalanya saja yg dibuang. Kulit dibadan udang tidak dibuang). Cuci bersih, kemudian lumuri dengan sejumput sdt gula dan sejumput sdt garam. Aduk rata menggunakan tangan, kemudian beri perasan air jeruk nipis / lemon. Diamkan selama 10 menit--Sambil menunggu udang yang didiamkan 10 menit, kita siapkan bahan untuk ditumis. Iris halus cabe ijo besar, cabe rawit merah (opsional), bawang merah, bawang putih, bawang bombay.--Panaskan minyak goreng diwajan dengan api sedang. Jika sudah panas, masukkan bawang merah dan bawang putih hingga harum dan setengah layu. Masukkan cabe ijo, rawit dan bawang bombay. Tumis hingga layu dan harum. Tambahkan minyak wijen dan kecap ikan. Tambahkan sedikit air, dan masukkan udang. Aduk hingga udang matang dan kemerahan. Tambahkan gula dan garam, aduk rata dan kemudian tes rasa. Jika sudah Pas, angkat dan sajikan.--",39,/id/resep/4466126-udang-tumis-cabe-ijo
Sambel udang pete,Udang,"250 gr Udang Kupas (Belah Punggung udang)--100 gr Jagung Muda--2 buah kentang--1 papan Pete--1 serai--2 daun jeruk--Garam dan gula, minyak untuk menumis secukupnya saja--Bumbu Halus :--3 Siung bawang putih--10 Cabe Merah keriting--1 buah tomat merah--","Haluskan Bumbu menjadi halus dengan mengunakan blender bumbu, sisihkan, blend juga tomat, sisihkan--Kupas dan Potong kentang kotak kecil, Goreng 5menit, 1/2 matang, angkat tiriskan--Panaskan minyak 2 sdm di wajan, masukan bumbu halus, tumis sampai wangi, tambahkan serai, daun jeruk, masukan tomat yang dihaluskan, tambahkan gula, garam secukupnya--Masukkan Jagung muda, pete, Udang, aduk sebentar sampai meresap bumbunya, tambahkan Kentang yang sudah digoreng (Langkah 1) icip rasanya... boleh juga kasi air, masak 5menit ditutup, sajikan dengan nasi hangat--",25,/id/resep/4465706-sambel-udang-pete
Tumis Udang saos tiram pedas,Udang,"100 g udang--1 sdm perasan air jeruk lemon/nipis--1 batang daun bawang, potong2--2 siung bawang putih--1/2 Bawang Bombay--4 bh Cabe rawit merah--1 sdm Minyak wijen--1 sdm kecap inggris--1 sdm saos tiram--1 sdm kecap manis--1 sdm Mentega/margarin--Secukupnya garam--","Buang kepala udang, kulit sisakan ekornya kerat/belah punggungnya lalu cuci bersih, lumuri udang dengan air perasan jeruk nipis/lemon, garam aduk rata sisihkan--Geprek bawang putih berserta kulitnya, cincang kasar bawang bombay,--Panaskan margarin/mentega tumis bawang bombay dan bawang putih, cabe sampai layu dan harum--Masukan udang aduk rata, masak udang sampai berubah warna tambahkan kecap manis, minyak wijen, kecap inggris, daun bawang aduk rata, tes rasa kl udh pas tunggu sampai matang lalu angkat dan hidangkan--Pedas, gurih dan enak😁
Gak kalahlah sama yg diresto 😂--Ini bikinan tadi siang sengaja buat makan anak, gak dikasih cabe krn mereka gak suka pedas 😁--",46,/id/resep/4464840-tumis-udang-saos-tiram-pedas
Udang Bakar Madu,Udang,"15 ekor udang,pilih yang besar--1 sdm saos cabe--1 sdm madu--1 sdm kecap manis--1 sdm saos tomat--1 sdm saos tiram--1 sdm margarin--2 siung bawang putih haluskan--Sedikit lada buBuk--Sedikit kaldu buBuk--1-2 iris jeruk nipis/ lemon--","Buang kepala udang,bersihkan kotoran,lalu kerat punggung,bersihkan.rendam diair yang sudah beri perasan jeruk nipis,cuci bersih kembali.Panaskan margarin,tumis bawang putih halus,masukan udang,kecilkan api agar bumbu tidak gosong.--Masukan saos cabe,saos tiram,kecap manis,madu,saos tomat,tambahkan lada buBuk dan kaldu bubuk.--Aduk2 terus besarkan api,masak sebentar saja sampai udang kecoklatan dan bumbu kental,jangan terlalu lama memasak udang agar daging udang tidak keras,lalu tusuk dengan tusuk sate.--Bakar diatas pemanggangan--Sajikan--",23,/id/resep/4461446-udang-bakar-madu
Udang Rica Pedas,Udang,500 gr pindang udang buang kepalanya--Bumbu uleg kasar:--10 siung bawang merah--6 siung bawang putih--6 buah cabai merah (skip)--15 cabai rawit atau sesuai selera--2 buah tomat ukuran sedang--1 ruas jahe geprek (aku pakai 1/2 sdt jahe bubuk)--Secukupnya garam--Secukupnya gula--,"Tumis bumbu dan jahe sampai harum. Masukkan udang. Tumis sampai berubah warna. Masukkan semua bahan. Kalau udang sudah berair, tidak perlu ditambah air. Masak sampai bumbu meresap.----",24,/id/resep/4461163-udang-rica-pedas
Perkedel Tahu Udang,Udang,1 buah tahu cina besar--Secukupnya udang cincang kasar/potong kecil2--1 sdm maizena/ tepung serbaguna--Secukupnya garam--Secukupnya lada--1 buah daun bawang diiris halus--1 butir telur--Secukupnya tepung panir/tepung bumbu untuk melapisi (skip juga bisa)--2 siung bawang putih haluskan--,"Hancurkan tahu dengan tangan, masukan garam,lada,telur,tepung maizena, irisan daun bawang, bawang putih dan udang aduk2 hingga merata.--Bentuk bulat2 gulingkan diatas tepung panir.--Panaskan minyak lalu goreng hingga kecoklatan. Selesai.--",35,/id/resep/4458613-perkedel-tahu-udang
Tumis Udang dan Tahu,Udang,"250 gr udang uk sedang, buang kepala--4 buah tahu cina potong dadu, goreng smpe berkulit--1/4 buah wortel, potong korek api--1/2 biji bawang bombay, iris memanjang--3 siung bawang putih--4 siung bawang merah--1 ruas jahe, geprek--7 buah cabe rawit setan, potong serong (bs ditmbh sesuai slera)--1 batang bawang daun, potong tebal--2 sdt kecap bango--1 sdt saos tomat--3 sdt saos tiram--secukupnya garam dan air--","Tumis bawang bombay dg 2 sdm minyak goreng, hingga harum, masukkan bawang merah, bawang putih, rawit, wortel dan jahe, aduk rata hingga harum.--Masukkan tahu dan udang aduk rata hingga berubah warna, beri air hingga sdikit merendam udang n tahu--Bumbui dg saos tiram, saos tomat, kecap dan garam. Biarkan air mendidih, menyusut dan mulai mengental, koreksi rasa, masukkan bawang daun, aduk2 sbentar, matikan api, sajikan...yummy😄--",8,/id/resep/4449412-tumis-udang-dan-tahu
Udang crispy,Udang,1 kg udang--1 sendok jeruk nipis--Tepung serba guna--Minyak--,Cuci bersih udangnya. Buang kulit dan kepalanya. Setelah di cuci bersih. Lumuri dengan 1 sendok jeruk nipis. Diamkan selama 5menit di dalam kulkas biar meresap--Siapakna 2 adonan tepung serba guna--Mangkuk pertama 5 sendok tepung serba guba tambhkan air jgn terlalu kental. Mangkuk yang ke 2 siapkan buat yang kering--Ambil udang yg di dlm kulkas. Lumuri ke tepung basah lalu ke tepung kering jgn lupa di remas remas biar menyatu smua--Siapkan minyak panas... dengan api sedang. Goreng sampai berwarna kecoklatan...--,8,/id/resep/4454987-udang-crispy
Udang Saus Mentega,Udang,"500 gr pindang udang, buang kepalanya--6 siung bawang putih cincang halus--4 sdm margarin--1/2 sdt merica bubuk--Secukupnya garam--Secukupnya gula--2 sdm kecap manis--Secukupnya kaldu bubuk--","Tumis bawang putih dengan margarin sampai harum. Masukkan udang, tumis hingga berubah warna. Masukkan bumbu lainnya. Masak hingga bumbu meresap. Angkat dan sajikan.--",27,/id/resep/4421340-udang-saus-mentega
Udang Saos Tiram,Udang,"250 gr udang, belah punggung--1/2 buah wortel, potong korek--1 batang daun bawang, iris serong--3 siung bawang putih, cincang halus--4 buah cabe merah, iris serong--1 bungkus saori saos tiram--1 sdm kecap manis--Secukupnya merica bubuk--Secukupnya air--","Tumis bawang putih, setelah wangi masukkan cabe merah, daun bawang, dan wortel.--Setelah itu masukkan udang, aduk2 hingga udang berubah warna.--Lalu masukkan air, saos tiram, kecap manis, dan merica bubuk.--Aduk-aduk hingga matang.--Tes rasa, sajikan.--",9,/id/resep/4453321-udang-saos-tiram
Siomay Udang Sambal Kecap,Udang,"Bahan siomay:--1/4 kg udang kupas--1 buah wortel sedang, serut--5 sdm tepung terigu--5 sdm tepung kanji (sesuai selera)--1 siung bawang putih sedang--10 btr Merica--Garam sckp--1 jumput Kaldu--1 sdm minyak goreng--Bahan sambal:--3 sdm Kecap--2 buah cabai rawit--1 cm bawang geprek--","Haluskan bawang, garam, merica.--Lumatkankan udang, campur dg wortel, bumbu halus, kaldu, minyak, tepung, dan air secukupnya. Campur hingga merata--Cetak adonan/ bulatkan, lalu rebus dalam air mendidih.--Tiriskan siomay setengah matang, lalu kukus hingga kecoklatan.--Sajikan bersama sambal selera anda..--",17,/id/resep/4451666-siomay-udang-sambal-kecap
Udang telur asin,Udang,"  bahan utama --15 ekor udang ukuran sedang--3-4 butir telur asin (ambil kuningnya saja)--1 putih telur--  bumbu iris --3 siung bawang putih (iris kecil2)--3 siung bawang merah (iris kecil2)--1 buah cabe merah keriting (iris kecil2)--1 buah cabe rawit setan (iris kecil2)--2 batang daun bawang (iris halus)-- bumbu tepung --5 sdm tepung terigu--1 sdm tepung maizena--  bahan lainnya --Margarine n minyak utk menumis n menggoreng--Secukupnya garam, gula pasir, lada--","Kupas bagian kepala udang. Belah sedikit punggung udang kmd cabut spt benang hitam yg ada di punggungnya.. cuci bersih. Rendam udang dlm putih telur kmd beri adonan tepung--Baluri udang dg tepung hingga rata--Goreng udang hingga golden brown. Sisihkan--Hancurkan kuning telur asin dg garpu sampai halus. Kmd tambahkan sedikit air matang shg menjadi seperti bubur. Jgn terlalu encer jg ya--Panaskan 1 sdm margarine n 1 sdm minyak goreng, tumis bawang putih n bawang merah, plus duo cabe (oh iy klo mau pedes, bole ditambah ya mom). Tambahkan sedikit air bila terlalu kering.--Masukkan adonan telur asin kemudian tambahkan daun bawang--Masukkan udang yg telah digoreng tadi...masukkan garam bila dirasa kurang asin, lada maupun gula pasir...aduk rata--Yummmiiiii...comot satu aaah...😄..--Kalau di resto..sepiring imut mihil bgt..ini bisa puaaassss..--Nyuuum...--",10,/id/resep/4447921-udang-telur-asin
Sayur udang kuah santan,Udang,1/4 udang kupas kulitnya kasih air jeruk nipis--15 btr telur puyuh(boleh skip)--2 bh sayur labu siam(potong memanjang--3 bh tahu potong dadu(klu sy tahunya dikukus dulu)--10 bh cabe rawit (boleh iris serong)--4 bh bawang merah (rajang)--3 bh bawang putih (rajang)--Lengkuas geprek--Jahe geprek--2 santan kara--1 sdt ketumbar bubuk--2 lmbr daun jeruk--2 lmbr daun salam--secukupnya Gula--secukupnya Garam--,"Tumis Bawang merah, bawang putih lengkuas, jahe daun salam, daun jeruk cabe aduk masukan udang aduk sebentar masukan telur dan tahu masukan ketumbar kasih air secukupnya dan santan,kasih garam gula secukupnya--Koreksi rasa biarkan mendidih smp matang--Siap disajikan dg taburan bawang goreng--",10,/id/resep/4438490-sayur-udang-kuah-santan
Tumis Buncis Udang,Udang,100 gr buncis--1 batang jagung (serut)--1 bh wortel (potong dadu)--10 ekor udang kupas--Bumbu:--4 cabai rawit merah--2 cabai merah kriting--3 siung bawang merah--2 siung bawang putih--Gula--Garam--Penyedap (kalau perlu)--,"Siangi sayuran dan cuci bersih--Iris2 semua bumbu.--Siapkan wajan panaskan minyak. Tumis semua bumbu dan tambahkan gula, garam, dan penyedap. jika aroma sudah keluar masukkan wortel dan buncis. Masak hingga layu--Masukkan jagung dan udang. Tumis campur semua, bahkan sedikit air--Test rasa, masak hingga matang. Siap di sajikan--",8,/id/resep/4446846-tumis-buncis-udang
Sempol Udang Sayur,Udang,50 gr Udang--50 gr Wortel--1 butir Telur--3 siung Bawang putih--secukupnya Penyedap rasa + garam--secukupnya Lada--100 gr Tepung tapioka--25 gr Tepung terigu--1 butir Telur untuk olesan--Air untuk rebusan--Minyak untuk menggoreng--,"Kupas udang, blender bersama dengan bawang putih dan telur.--Parut wortel, campur dengan udang yang telah dihaluskan tadi.--Campur tepung tapioka, terigu, garam+penyedap rasa. Aduk hingga kalis. Jika terlalu lembek bisa ditambahi tepung terigu. Disesuaikan.--Setelah kalis, bentuk seperti sempol pada tusuk sate. Panaskan air, masukkan sempol, rebus hingga matang. Tiriskan.--Panaskan minyak goreng, goreng sempol sebentar. Setelah setengah matang, angkat sempol celupkan kedalam kocokan telur, goreng lagi hingga matang. Setelah matang, angkat dan sajikan.--Sempol siap disantap bersama saos dan kecap :))--",8,/id/resep/4444054-sempol-udang-sayur
Nasi Bakar isi Balado udang kentang,Udang,1/4 kg beras putih--1/2 bks santan (aku pakai ayam brand) larutkan dg air 2 gelas--100 gram teri medan goreng--10 cabe rawit orange--Daun pisang dan tusuk gigi--1 iris lengkuas--2 lbr daun salam--2 lbr daun jeruk--1 btg sere--Balado kentang udang (resepnya terpisah ya)--,"Siapkan rice cooker. Cuci beras, masukkan ke dlm rice cooker. Tambahkan air, santan, garam, daun salam, sereh, lengkuas, daun jeruk. Masak hingga tanak--Setelah tanak, taburkan teri medan dan cabe rawit. Tutup rice cooker 10 menit hingga tanak lagi.--Siapkan daun pisang. Lalu tata Nasi dr rice cooker dan balado udang ketang) bungkus spt gambar ini--Bakar diatas wajan teflon, bolak-balik agar merata.--Siap disantap. Nasi bakar sederhana, harumnya daun pisang bikin nagih makannya.--",10,/id/resep/4443700-nasi-bakar-isi-balado-udang-kentang
Udang saos tiram pedas,Udang,500 gr Udang galah--2 siung Bawang putih--Bawang bombay (sy skip krn stock kulkas kosong 😝)--Jahe (sedikit aja diiris / geprek)--2 Lembar daun jeruk--1 batang daun sereh--Daun bawang--200 ml Air matang--Garam--Merica--Saos tiram--1 sdm maizena yg di larutkan dgn sdkt air--Bumbu Yg di haluskan:--7 buah Cabe merah--10 buah rawit merah--1/2 buah tomat--Gula merah--,"Tumis bawang putih, bawang bombay sampai harum.--Masukkan bumbu halus, jahe, daun jeruk, sereh. Tumis sampai harum.--Masukkan udang, tambahkan sedikit air. Beri garam, merica, saos tiram. Masak sampai udang matang. Jangan terlalu lama krn tekstur udang nanti jadi liat.--Kecilkan api, Masukkan maizena yg sudah dilarutkan. Tambahkan daun bawang..--Voiiillaaaa... Jadiiiii--",47,/id/resep/4443324-udang-saos-tiram-pedas
Tumis buncis udang wortel,Udang,"200 gr buncis, potong2 serong--1 buah wortel, serut tebal--1 genggam udang kecil yg sdh dibuang kepala & buntut--3 siung bawang putih, cincang kasar--3 buah lombok hijau besar, buang biji potong2 tipis--1 buah tomat, potong2--Sedikit terasi--Secukupnya garam & gula--","Tumis bawang putih sampai layu masukan terasi lalu tumis sampai harum... masukan udang, aduk2 sampai udang berubah warna.. masukan irisan cabe dan tomat aduk biarkan agak layu.--Masukan buncis dan wortel aduk rata, tutup wajan biarkan sampai sayuran layu... tambahkan sedikit air +garam dan gula, aduk rata.--Masak sampai air menyusut, tes rasa.. jika sdh pas rasanya angkat dan sajikan.--",22,/id/resep/4443303-tumis-buncis-udang-wortel
