Title,Ingredients,Steps,Loves,URL,Bahan
Ayam Goreng Bawang Khas Batam,"1/2 ekor ayam bagian apa saja,potong kecil""--1 bonggol bawang putih,cuci&geprek dengan kulit"" nya--1 butir telur--3 sdm tepung maizena--Secukupnya garam&kaldu jamur--Secukupnya minyak goreng--Bumbu halus:--6 siung bawang putih--5 butir bawang merah--1 sdt ketumbar bubuk--1/2 sdt merica bubuk--1,5 ruas jari jahe--1 ruas jari kunyit--","Cuci ayam hingga bersih kemudian tiriskan masukan bumbu halus,garam,kaldu jamur tepung maizena&telur aduk hingga tercampur rata--Diamkan kurang lebih 30 menit di kulkas supaya bumbu meresap--Panaskan minyak goreng kemudian goreng bawang putih hingga kuning&garing tiriskan--Kemudian goreng ayam hingga coklat keemasan&matang merata *bisa pakai api kecil saja* untuk ayam nya goreng bertahap jangan sekali goreng semua nya angkat&tiriskan--Ayam goreng bawang siap di sajikan--",237,/id/resep/4345660-ayam-goreng-bawang-khas-batam,"ayam, bawang putih, telur, tepung, maizena, bawang merah, minyak, ketumbar, bubuk, merica, garam, jahe, kunyit, kaldu, jamur"
Ayam Goreng Kecap,"1/2 ekor ayam, Potong-potong--1/2 bawang bombay, iris memanjang--2 cm jahe memarkan--2 cabe merah, iris serong--2 siung bawang putih, ulek halus/ cincang halus--1 batang daun bawang, iris--1/2 sdt gula--Secukupnya Merica, garam--175 ml air/ secukupnya--Minyak utk menggoreng--","Lumuri ayam dg air jeruknipus dan garam, remas2, bilas bersih. Ungkep ayam dg garam dan merica. Boleh jg lgs goreng tp potong agak kecil.--Setelah diungkep, goreng ayam hngga sedikit kecokelatan, angkat.--Panaskan secukupnya minyak, tumis bawang putih dan jahe, masukkan bawang bombay, tumis hingga harum. Masukkan cabe merah iris, ayam goreng, bubuhi gula garam, merica dan kecap, tuangair. Masak hingga kuah mengental, sesaat sblm diangkat, masukkan daun bawang.--Angkat ayam dan sajikan--",218,/id/resep/4379354-ayam-goreng-kecap,"ayam, bawang putih, daun bawang, cabe, minyak, merica, garam, gula, jahe, bawang bombay"
Mie Ayam,1/2 kg mie telur--1/2 ekor ayam--1 buah bawang bombay--5 siung bawang merah haluskan--6 siung bawang putih haluskan--2 ruas jahe haluskan--3 sendok makan kecap manis--3 sendok makan kecap asin--2 sendok makan saos tiram--1 sendok makan kecap inggris--1 sendok makan minyak wijen--3 lembar daun jeruk--1 lembar daun salam--1 batang serai--2 batang daun bawang--Garam dan penyedap rasa--1 sendok teh merica bubuk--,"Rebus mie telur sampai matang--Rebus ayam hingga empuk dengan sedikit garam kemudian potong kecil2--Tumis bawang bombay, bawang merah, bawang putih hingga harum--Tambahkan jahe giling, daun salam, daun jeruk dan serai.--Masukkan kecap manis, kecap asin, kecap inggris, minyak wijen dan saos tiram.--Masukan ayam yang telah di rebus aduk rata.--Masukkan garam, penyedap rasa, dan merica bubuk sesuai selera--Tambahkan sedikit air, masukan potongan daun bawang. Masak hingga empuk--Bahan kuah, siapkan air. Masukkan daun bawang, kaldu ayam, dan merica bubuk--Tata mie ayam. Letakkan mie, toping ayam dan siram dengan kuah.--",194,/id/resep/4337966-mie-ayam,"ayam, bawang putih, telur, bawang merah, daun salam, daun bawang, serai, minyak, wijen, bubuk, merica, garam, jahe, daun jeruk, bawang bombay, saos, tiram, kecap,  mie , saos, penyedap"
Tumis Pokcoy,"Tumis pokcoy:--4 batang pokcoy--2 siung bawang putih, iris--1/2 sdt kecap asin--1 sdm air--1/2 sdt Gula--1/4 sdt garam-- Ayam bawang--2 potong paha ayam, potong dadu--1 sdt kecap manis--1/2 sdt kecap asin--8 siung bawang putih, geprek kasar--1/2 sdt Garam, merica, kaldu jamur (masing-masing, sesuai selera aja)--1 butir jeruk limau, peras-- tumis bawang merah:--15 siung bawang merah--3 buah cabe hijau--5 buah cabe merah--5 buah cabe rawit--1/2 sdt Garam dan kaldu jamur (masing2, sesuai selera)--"," Tumis pokcoy: pokcoy cuci bersih, potong. Panaskan wajan, masukkan bawang putih lalu tumis sampai harum--Masukkan pokcoy, kecap asin, air, gula, garam. Aduk rata sekitar 30 detik. Angkat-- Ayam bawang putih: campurkan semua dan marinasi di kulkas selama bbrp jam (bisa sampai 8 jam)--Beri sedikit minyak, tumis hingga agak sedikit gosong, angkat--Tumis bawang merah: bawang merah diiris tipis, dan cabe iris miring--Beri minyak yg agak banyak (mgkn sekitar 4-5 sdm) lalu tumis bawang merah, cabe lalu aduk sampe harum. Masukkan gula, garam dan kaldu jamur. Aduk2 dan cicipi rasa. Jika sudah pas sisihkan--",170,/id/resep/4355199-menu-dinner-trio-tumis-pokcoy-ayam-bawang-putih-bawang-merah,"ayam, bawang putih, bawang merah, cabe, rawit, merica, garam, gula, kaldu, jeruk limau, kecap, jamur, pokcoy"
Ayam Woku Manado,"Bumbu Halus--6 Bawang Merah--4 Bawang putih--3 cm Jahe--4 cm Kunyit--3 kemiri--3 Cabe Merah--4 Cabe Rawit (bisa tambahin lebih dari ini)--Bahan Lain--1 Ekor Ayam, potong 12/16--1 ikat Daun kemangi,--5 lbr Daun Jeruk--1 Lbr Daun Kunyit (skip)--4 lbr Daun salam--1 lbr daun pandan iris halus dan 1 sereh geprek (tambahan dr sy)--1 Tomat Merah--Kaldu Bubuk, garam, gula--air +-400ml--Minyak utk Menumis--","Rebus Ayam di air Mendidih 7 Menit, buang kotorannya, bilas n Tiriskan.--Di Wajan, Tumis Bumbu halus dgn Minyak sampai Harum, masukkan daun jeruk, salam, pandan,sereh, tumis sampai Matang..--Masukkan Ayam, aduk Rata. Tambahkan Air dan Garam, gula n kaldu, tomat potong, aduk rata, koreksi Rasa.--Masak sampai Ayam Matang empuk n kuah menyusut. Matikan api, lalu masukkan daun kemangi, aduk sampai daun layu.--",169,/id/resep/4349267-ayam-woku-manado,"ayam, bawang putih, bawang merah, daun salam, sereh, cabe, rawit, minyak, bubuk, garam, gula, jahe, kunyit, kaldu, daun jeruk, kemiri, tomat, kemangi"
Ayam Goreng Mentega,1 Ekor ayam dipotong menjadi 16 atau 32 sesuai selera--6 siung bawang putih dihaluskan--5 sdm kecap inggris--3 sdm kecap asin--1 sdm minyak wijen--100 gram mentega / butter--2 buah jeruk nipis--4 sdt gula pasir--,"Campurkan bawang putih, kecap inggris, kecap asin dan minyak wijen kedalam potongan daging ayam dan diamkan atau ungkep selama 15 - 20 menit--Goreng ayam yang sudah diungkep hingga matang dengan minyak goreng biasa lalu tiriskan.--Lelehkan mentega di wajan dan masukan air perasan jeruk nipis.--Tambahkan gula--Masukan ayam yang sudah digoreng tadi ke dalam wajan yang berisi campuran mentega, aduk hingga rata--Masak sebentar dengan api kecil supaya bumbunya meresap--Angkat dan tuang menteganya di atas ayam dan sajikan.--",166,/id/resep/4319124-the-best-ayam-goreng-mentega,"ayam, bawang putih, minyak, wijen, gula, jeruk nipis, mentega, kecap"
Ayam Kecap Manis Cabai,"500 gr ayam--3 siung bawang putih, geprek cincang--1 bh cabe merah besar, iris serong--1/2 sdt merica bubuk--3-4 sdm kecap manis--200 ml air--Secukupnya garam--3 sdm minyak sayur--Secukupnya daun bawang, utk taburan--","Tumis bw putih, cabe dan merica bubuk hingga layu dan baput agak kecokelatan--Masukkan ayamnya, aduk hingga berubah warna--Beri kecap manis lalu tuang air, bubuhi garam secukupnya, aduk rata lalu tutup wajan hingga airnya sat dan bumbu meresap--Sajikan lalu taburi dgn daun bawang--",164,/id/resep/4467275-ayam-kecap-manis-cabai,"ayam, bawang putih, daun bawang, cabe, minyak, bubuk, merica, garam, kecap"
Ayam Goreng Madu Pedes Garing,"1 kg ayam kurang lebih (bisa beli bagian paha)--1 sendok teh ketumbar--2 sendok makan perasan air lemon--secukupnya Garam--1/2 sendok teh Merica--7-8 sendok makan tepung maizena--3-4 sendok makan tepung goreng ayam serbaguna--Minyak untuk menggoreng ayam--Bahan saos:--5-6 siung bawang putih cincang halus--Bahan yang di campur jadi 1 di mangkuk--5-6 sendok makan saos sambal botolan--2 sendok makan saos tomat botolan--1 sendok teh saos tiram--1-2 sendok teh kecap manis--2-3 sendok makan minyak wijen--4-5 sendok makan madu--2-3 sendok makan perasan air lemon--1 sendok makan Gula pasir--Campur smua bahan saos di atas ke dalam 1 mangkok dan aduk rata--3-4 sendok makan margarin--secukupnya Minyak--secukupnya Garam, penyedap dan merica--","Pertama panaskan minyak di kuali,,--Sembari menunggu minyak panas, lumuri ayam dgn ketumbar, merica, garam dan air lemon aduk rata lalu masukan tepung ayam goreng serbaguna dan tepung maizena aduk rata, lalu goreng setelah minyak panas dan tiriskan--Sembari menggoreng ayam kita masak soasnya--Panaskan dikit minyak dan margarine, setelah panas tumis bawang putih hingga harum--Setelah bawang putih harum masukan campuran saos tadi,, aduk rata dan masak hingga mendidih--Lalu masukan garam, merica dan penyedap icip rasa jika pas matikan--Lalu masukan ayam yg sudah di goreng tadi dan aduk rata, siap disajikan --",155,/id/resep/4347114-crispy-chicken-honey-spicy-ayam-goreng-madu-pedes-garing,"ayam, bawang putih, tepung, maizena, minyak, wijen, ketumbar, merica, garam, gula,  air , saos, tiram, kecap, lemon, saos, tomat, penyedap, margarin, madu"
Kalio Ati Ampela Ayam,3 pasang ati ampela ayam (potong-potong)--Bumbu Halus :--7 butir bawang merah--3 siung bawang putih--3 buah cabe merah--9 buah cabe rawit--1 ruas jari jahe--1/2 sdt ketumbar--1/2 sdt merica--6 butir kemiri--2 buah tomat--Bumbu Cemplung :--3 lembar daun jeruk--2 batang serai (memarkan)--2 ruas jari lengkuas (iris tipis)--100 ml santan kental--secukupnya gula--secukupnya garam--secukupnya penyedap--,"Tumis bumbu halus dan bumbu cemplung hingga harum.--Masukkan potongan ati ampela ayam.Tunggu hingga ati ampela empuk.--Tambahkan santan kental,gula,garam dan penyedap.Tunggu hingga santan menyusut dan mengental.--NB : Untuk proses nomer 3,gunakan api kecil agar bumbu benar-benar meresap sempurna.--Koreksi rasanya,lalu angkat dan sajikan.----",151,/id/resep/4343668-kalio-ati-ampela-ayam,"ayam, bawang putih, bawang merah, serai, cabe, rawit, ketumbar, merica, garam, gula, jahe, daun jeruk, lengkuas, santan, kemiri, tomat, penyedap"
Chicken Katsu,500 gram fillet ayam bagian dada--1 sdm garam--1 sdm bawang putih yang sudah dihaluskan--1/2 sdt merica--secukupnya kaldu jamur--sejumput gula--2 telur ayam kocok lepas--250 gram tepung panir--1 cup tepung terigu--,"Potong potong fillet ayam dengan ukuran sesuai selera. Kemudian lumuri dengan jeruk nipis/lemon, lalu cuci bersih.--Marinasi dengan bawang putih, garam, merica, kaldu jamur, dan gula. Diamkan sekitar 15 menit hingga bumbu meresap--Tempatkan terpung terigu dan tepung panir di masing masing piring yang berbeda. Beri sedikit garam pada kocokan telur. Ambil 1 lembar daging ayam yang sudah di marinasi, gulingkan kedalam tepung terigu, masukkan kedalam kocokan telur, dan terakhir gulingkan diatas tepung panir. Lakukan berulang sampai daging ayam habis :)--Goreng di minyak panas dengan api Sedang.--Bila ingin menggoreng nanti atau besok, Chicken katsu yang sudah dilumuri tepung panir bisa disimpan di freezer. Bila ingin digoreng, keluarkan dari freezer dan diamkan sebentar hingga chicken katsu mencapai suhu ruang baru digoreng ^-^--Chicken katsu siap disantap--",149,/id/resep/4316348-chicken-katsu,"ayam, bawang putih, telur, tepung, terigu, merica, garam, gula, kaldu, jamur, panir"
