Title,Ingredients,Steps,Loves,URL,Bahan
Chilli Tuna Puff Kilat Super Yummy,1/2 pack Kulit puff instant saya merk.Edo--Bahan Isian--1 Kaleng Tuna in oil pedas saya merk Kingfisher--3 siung bawang putih digoreng ambil minyaknya aja--secukupnya Boncabe/chili flakes--secukupnya Garam--secukupnya lada--secukupnya Gula--2 butir Telur Rebus potong2--,"Langkah 
1.Tumis chili tuna chunk dengan minyak bawang disusul jagung pipil,lalu masukkan gula+garam+merica/lada hitam sesuai selera.
2.Terakhir,taburi Chili Flakes/Boncabe dan Parsley cincang,aduk rata,sisihkan
3.Potong puff seperti di foto step2,isi dengan telur rebus+tuna,lalu lipat,pipihkan samping2nya menggunakan ujung garpu supaya tidak bocor
4.Oles kuning telur,semprot saus+parsley--Panggang dengan suhu kurleb 200 derajat sampai keemasan dan kokoh sekitar 18 menit atau sesuaikan oven sendiri
Enjoyyy----",516,/id/resep/4463240-chilli-tuna-puff-kilat-super-yummy-%F0%9F%98%99,"bawang putih, telur, cabe, minyak, garam, gula, lada"
Tenggiri kuah asam pedas,"500 gram ikan tenggiri, potong bulat--1 buah jeruk nipis, ambil airnya--2 buah tomat hijau, potong kasar--2 batang serai, memarkan--3 cm jahe, memarkan--4 cm kunyit, bakar lalu memarkan--5 buah belimbing wuluh, belah 2--10 buah cabe rawit utuh--5 buah  cabe merah keriting, iris serong--10 buah cabe rawit, iris serong--1 batang daun bawang, potong kasar--750 ml air--secukupnya Garam, gula & lada bubuk--Bumbu iris tipis:--6 butir bawang merah--3 siung bawang putih--","Cuci bersih ikan, lumuri air jeruk nipis, diamkan 15 menit, cuci kembali sampai bersih, sisihkan.--Rebus air dalam panci hingga mendidih.--Tumis bumbu sampai wangi, masukkan cabe, daun jeruk, kunyit, serai & jahe, aduk2 sampai layu, tuang tumisan bumbu kedalam panci berisi air mendidih, bumbui garam & gula, masukkan ikan, masak sampai mendidih kembali.--Masukkan belimbing wuluh & cabe rawit utuh, masak sampai bumbu meresap, tes rasa, sebelum diangkat masukkan irisan tomat hijau, matikan api, taburi daun bawang sajikan. (Boleh taburi daun kemangi bila suka)--",242,/id/resep/4460709-tenggiri-kuah-asam-pedas,"bawang putih, bawang merah, daun bawang, serai, cabe, rawit, bubuk, garam, gula, jahe, kunyit, jeruk nipis, lada, ikan, tomat, belimbing, tenggiri"
Pindang Tongkol Suwir Sambal Matah,"2 ekor pindang tongkol uk. sedang--3 lmbr daun jeruk, buang tulang dan iris tipis--2 btg sereh, iris rajang--8-10 siung bawang merah, iris rajang--7 bh cabe kecil, iris--Secukupnya garam--Secukupnya minyak kelapa--1/2 bh jeruk limau, ambil airnya--","Suwir kasar pindang tongkol lalu goreng dgn sedikit minyak di atas teflon, aduk terus sampai agak mengering--Campur bawang, cabe, sereh, daun jeruk, garam dan minyak kelapa lalu remas"" kemudian campur dgn ikan suwirnya, lalu kucuri dgn jeruk limau, aduk rata--Sajikan--",197,/id/resep/4017722-pindang-tongkol-suwir-sambal-matah,"bawang merah, sereh, cabe, minyak, garam, daun jeruk, jeruk limau, tongkol"
IKAN ASIN GABUS KERING CABE GENDOT,"250 gr gabus kering potong""--4 buah cabe gendot potong kasar--3 buah cabe hijau iris serong--1 lembar daun salam robek 2--7 buah bawang merah iris--5 buah bawang merah iris--1 buah tomat kecil iris kasar--2 papan pete--100 ml air--Ga4am--Gula--optional Penyedap--Minyak untuk menumis--","Rendam ikan asin dengan air panas beberapa saat agar garamnya berkurang lalu cuci bersih kemudian goreng kering--Tumis semua bumbu iris, pete, di tambah daun salam hingga harum lalu masukan ikan asin lalu aduk rata kemudian tambahkan air dan tutup sebentar--Menjelang di angkat masukan tomat iris lalu test rasa dahulu jika ku4ang asin bisa d tambahkan bumbu tambahan garam, gula pasir dan penyedap (Optional)--Jika semua rasa sudah oke angkat dan sajikan--NB : Test rasa dahulu seblum di tmbahkan bumbu tambahan agar makanan yang di sajikan tidak keasinan karena beberapa ikan asin memiliki rasa asin yang kuat... Jika tidak test rasa khawatir makanan keasinan...--Selamat mencoba... Jangn lupa yah reecook--",196,/id/resep/4067418-ikan-asin-gabus-kering-cabe-gendot-by-dapoer-linggar,"bawang merah, daun salam, cabe, minyak, gula, tomat, penyedap, pete"
Kalio tenggiri,"5 ptg ikan tenggiri--2 bh wortel, potong korek--1 bh jeruk nipis--1 btg sereh, geprek--5 lmbr daun jeruk, sobek--1 lmbr daun kunyit, ikat--Sesuai selera cabe kecil utuh--65 ml santan instan + campur dgn 100 ml air--Secukupnya garam--Gula--Minyak goreng--Bumbu halus :--12 siung bawang merah--4 siung bawang putih--1 sdt ketumbar bubuk--1/2 sdt merica bubuk--2 bh cabe merah besar--1 cm lengkuas--2 cm kunyit--","Lumuri ikan dgn jeruk nipis, diamkan 15 menit lalu cuci bersih--Tumis bumbu halus, sereh, daun salam, daun kunyit hingga bumbu matang dan wangi--Masukkan ikan tenggiri, aduk dulu sampai berubah warna lalu masukkan santannya, susul dgn wortel--Masak sambil diaduk, beri gula dan garam, cabe utuhnya juga masuk--Masak sampai matang lalu sajikan--",188,/id/resep/4258708-kalio-tenggiri,"bawang putih, bawang merah, sereh, cabe, minyak, ketumbar, bubuk, merica, garam, gula, kunyit, daun jeruk, jeruk nipis, lengkuas, ikan, santan, tenggiri, wortel"
Ikan Tongkol Asem Padeh Istimewa Bumbu Sederhana,900 gr Ikan Tongkol (±3-4 Ekor ukuran sedang)--1000 cc Air--1 Sdm Air Perasan Jeruk Nipis--2 Batang Serai (Memarkan)--40 gr Lengkuas (± 3 cm) memarkan--4 Lembar Daun Jeruk--1 Lembar Daun Kunyit (Buat simpul)--2 gr Asem Kandis (± 2 Potong)--Secukupnya Gula Pasir--Secukupnya Garam--Bumbu Halus :--150 gr Cabai Merah Keriting--100 gr Bawang Merah (± 10 Butir)--8 gr Bawang Putih (± 8 Butir)--,"Bersihkan ikan Tongkol, buang kotoran dan potong ikan tongkol sesuai selera. Lumuri dengan air jeruk, diamkan 15-20 menit.--Masak air sampai mendidih berikut bumbu halus, serai daun jeruk, lengkuas dan daun kunyit. Setelah mendidih masukkan ikan, susun hingga semua ikan terendam dalam kuah cabe merah.--Masak dengan api kecil. hingga air sedikit menyusut, kuah agak mengental. Masukkan asam kandis, gula dan garam, aduk sebentar (Uji rasa) angkat dan siap dihidangkan.--Semoga bermanfaat guys 😀👌----",134,/id/resep/4049766-ikan-tongkol-asem-padeh-istimewa-bumbu-sederhana,"bawang putih, bawang merah, serai, cabai, garam, gula, kunyit, daun jeruk, jeruk nipis,  air , lengkuas, ikan, tongkol"
Mushrooms Tuna Puff,1 bungkus puff pastry ()--1 kaleng kecil tuna kemasan--1 kaleng kecil jamur kancing kemasan--1 kotak keju cheddar (kraft 200 grm)--(untuk isian dan topping)--1 buah ukuran besar bawang bombay--5 siung bawang putih--2 sdm margarine palmia garlic--1 sdm kecap ikan--Secukupnya garam--Secukupnya merica bubuk--Sejumput gula pasir--3 kuning telur untuk olesan--,"Potong dadu bawang bombay, geprak dan cincang bawang putih, potong2 jamur kancing, sisihkan--Panaskan margarine, tumis bawang putih dan bawang bombay sampai harum masukkan tuna dan jamur kancing tambahkan bumbu lain, aduk aduk sebentar masak selama 5 menit-an, koreksi rasa, angkat sisihkan--Potong puff pastry suhu ruang sesuai selera, saya perlembar di potong jadi 4 untuk yang bentuk segitiga dan potong jadi 6 sama besar untuk bentuk yang kotak--Beri isian tuna + potongan keju lipat dan rekatkan dengan menekan nekan pakai ujung garpu pada semua sisi lipatan, oles permukaannya dengan kuning telur dan taburi keju parut--Panggang suhu 190 selama 30 menit, atau sesuaikan oven masing masing--Sajikan dengan cocolan saos sambal dan mayonais lebih nikmat--",117,/id/resep/4224725-mushrooms-tuna-puff,"bawang putih, telur, bubuk, merica, garam, gula, bawang bombay, kecap, jamur, ikan, keju, margarin"
Pempek tenggiri,500 gr fillet ikan tenggiri--100 gr es batu yg dihancurkan--4 butir bawang putih--50 gr putel (boleh 1butir telur)--10 gr micin--20 gr garam--600 gr sagu tani--25 gr terigu--bahan isian--5 butir telur kocok+garam--bahan cuko:--500 gr gula aren--1 liter air--7 bj bawang putih--2 sdm ebi sangrai--20 gr garam--60 gr gula pasir--40 gr asam jawa+50ml air dicairkan--cabe sesuai selera pedasnya--1 sdm cuka makan--,"Blend ikan, garam,micin, bawang putih, dan separo es batu sampai lumat--Masukkan telur, separo sagu tani dan sisa es batu--Kluarkan dari blender dan letakkan dibaskom--Kemudian uleni dengan sisa sagu tani dan terigu--Bentuk dengan memberi lubang ditengah menggunakan telunjuk--Lalu diberi isian kocokan telur--Trus direbus sampai mengapung--Setelah semua adonan habis lalu rebus kembali semua pempek kurleb 10menit untuk memastikan telur isian mateng--Setelh itu mengapung semua angkat dan tiriskan.--Pembuatan cuko--Blender semua bahan all in one--Tuang ke panci dan rebus sampai mendidih--Matikan api, dinginkan dan disaring--Cuko siap dgunakan--Penyajian--Goreng pempek sampai kekuningan dan sajikan dengan irisan timun dan tuangi cuko--",112,/id/resep/4012562-pempek-tenggiri-pr_homemadestreetfood,"bawang putih, telur, terigu, cabe, garam, gula, aren, micin,  air , ikan, asam jawa, tenggiri, cuka,  ebi "
Gurami Masak Saus Tiram,"1 ekor ikan gurami ukuran sedang, potong-potong, goreng--Bumbu-bumbu:--1 btr bawang bombay ukuran sedang--4 siung bawang putih, cincang halus--5 siung bawang merah, iris halus--2 bh cabe merah, iris serong tipis--7 btr cabe rawit, iris tpis--1 ruas jahe, memarkan--1 sdt garam--1 sdt gula pasir--2 sdm saus tiram--2 sdm kecap manis--2 lbr daun jeruk (opsional)--Minyak goreng--","Siapkan dan timbang bahan sesuai resep.--Tumis bawang, cabe, daun jeruk, dan jahe hingga harum.--Masukkan tomat, garam, gula, saus tiram, kecap, dan sedikit air. Tunggu hingga bumbu mendidih dan matang.--Masukkan ikan, aduk-aduk hingga bumbu meresap.--Tes rasa, kalau sudah pas matikan apinya.--Tata di piring saji...😊--Dan ini hasil jadinya, Gurami Masak Saus Tiram siap disajikan... 😋--Selamat mencoba!--Happy cooking 😊--------",100,/id/resep/4307923-331-gurami-masak-saus-tiram,"bawang putih, bawang merah, cabe, rawit, minyak, garam, gula, jahe, daun jeruk, bawang bombay, saus, tiram, kecap, ikan, gurami"
Ikan nila kuah pindang,"1/2 kg Ikan nila--Jeruk nipis--3 siung Bawang merah--2 siung bawang putih--2 butir Kemiri--1 ruas kunyit--2 kembar daun salam--1 batang serai--10 cabe rawit merah--2 cabe hijau besar--Belimbing wuluh (saya skip krn tdk ada,ganti tomat)--","Lumuri ikan bila dengan perasan jeruk nipis dan garam,sisihkan--Haluskan kemiri dan kunyit bakar--Tumis bawang merput dan bumbu halus,beserta salam,serai--Masukkan ikan--Masukkan cabe rawit utuh, irisan cabe hijau, irisan tomat, beri air--Masak sampai mendidih,dan ikan matang,cek rasa--Ikan nila kuah pindang siap.disajikan--",97,/id/resep/4223607-ikan-nila-kuah-pindang,"bawang putih, bawang merah, daun salam, serai, cabe, rawit, kunyit, jeruk nipis, ikan, kemiri, tomat, belimbing, nila"
