Title,Ingredients,Steps,Loves,URL,Bahan
Nasi Goreng Kambing,"3 piring nasi putih dingin--350 gr daging kambing, potong kotak--1 btg kecil kayu manis--1 sdm bubuk kari--Bumbu yg dihaluskan :--8 btr bawang merah--4 siung bawang putih--1/2 sdt jintan--1/2 sdt adas--1 sdm ketumbar--2 bh kapulaga--5 bh cengkeh--1 sdt merica--secukupnya kecap manis, garam, gula, air--","Tumis kapulaga, bumbu halus, bubuk kari sampai harum masukkan daging kambing. Aduk rata--Tambahkan air secukupnya, beri garam, gula masak sampai daging empuk dan kuah mengental--Masukkan nasi dan kecap. Aduk2 sampai merata dan nasi agak mengering--Sajikan nasi goreng kambing dg acar kol, timun,emping dan bawang merah goreng--Ini beneran enaaak. Daging nya masak sampai empuuk ya, pakai kambing yg ada sedikit lemaknya spy lebih gurih--",355,/id/resep/1041289-nasi-goreng-kambingala-kebon-sirih,"bawang putih, bawang merah, ketumbar, bubuk, merica, garam, gula, nasi, kecap, daging, cengkeh, kambing, jintan, kapulaga,  kari"
Nasi briyani kambing,500 gram paha kambing muda--6 buah cabe kriting--5 cm jahe--secukupnya garam--2 cup beras basmathi--1 buah bawang bombay besar--5 buah cabe hijau besar--3 btr bawang putih--1 buah tomat--2 lbr salam--1 tangkai sereh--3 btr bunga lawang--5 btr cengkeh--6 btr kapulaga hijau--secukupnya kunyit bubuk (sesuai warna yg di inginkan ya)--1/2 sdt lada bubuk--1 sdt ketumbar bubuk--1 sdt pala bubuk--1 sdt kayu manis bubuk--2 sdt jinten bubuk--1 sdt kapulaga bubuk--secukupnya blubend--sesuai selera pelengkap tambah kn kismis dan kacang mede klo ada hasil tmbh nikmat--,Cuci kambing smpai bersih lalu rebus air secukup ny smpai medidih setlh mendidih masuk kan daging kambing--Blender jahe dan cabe kriting sampe halus masuk kn 1sdt garam lalu masukan kedalam kmbing yg sdng di rebus biar kn sampi daging ny empuk klo air ny hbis bisa di tambh lg dn cicipi rasa garam ny sudh pas atw blm--Tumis pke blubend ya jgn pke minyak bawang bombay dan bawang putih smpai kekuningan dan harum lalu masuka cabe hijau tomat daun salam sereh dan masukan bumbu bubuk lain nya aduk sampai tercampur rata setelah itu masukan kambing yg sdh di rebus td aduk2 kembali smpai rata biarkan sebentar smpai bumbu meresap--Lalu cuci beras smpai bersih trs masukan kedalam kambing yg sedang di msk aduk2 kembali biar menyatu lalu masukan 3 cup air bersih tambah kan garam secukup ny trs biar kn air ny smpi menyusut stlh air ny habis angkat--Lalu kukus smpai matang setelah matang sajikan dgn kismis dan kacang mede hemmzzx enakk selamat mencoba.--Oia smpe lupa 3 cup air ny pke air rebusan kambing ya klo msh ada biar lbh sedep..--,153,/id/resep/1667060-nasi-briyani-kambing-ala-umy,"bawang putih, sereh, cabe, ketumbar, bubuk, garam, jahe, kunyit, bawang bombay, lada, kacang, tomat, cengkeh, beras, kambing, jinten, kapulaga"
Gulai Kambing ala Semarang,"500 gr Daging Kambing rebus dengan 1 liter air sampe empux--200 ml Santan kental /sesuai selera--2 batang Serai memarkan--3 lembar Daun Salam--4 helai Daun jeruk purut--Cabe rawit merah biarkan utuh--2 butir Cengkeh--1 batang Kayu manis--Bumbu halus :--5 siung Bawang Merah--4 siung Bawang Putih--6 butir Kemiri sangrai--1 sdt Jinten--2 cm Kunyit--1 cm Jahe--2 cm Lengkuas--1 sdt Ketumbar--sesuai selera Merica,Pala,Garam,Gula,Kaldu bubuk--","Presto daging kambing dengan daun salam,serai,daun jeruk dan lain2 sampai empuk. - Masukkan santan aduk2 terus dalam api sedang Note : boleh juga buang 1/4 air rebusan diganti air biasa jika dirasa terlalu 'prengus'.tapi kalo aku tetep takpake air rebusannya semua,trus tak tambah air soale suami suka kuah.--Tumis bumbu halus sampai harum banget,masukkan tumisan bumbu ini ke dalam rebusan daging tadi ya.. Rebus lagi sampai santan meresap--Tambahkan cabai rawit merah utuh,lalu kasi merica pala garam gula kaldu bubuk sesuai selera yaa TEST Rasa sebelum diangkat. - untuk masalah sedikit/banyaknya kuah tinggal disesuaikan selera ya.----Yummy bangett sama nasi putih hangattt :)--Sepertinya kalo di tempat lain gulainya banyak yang merah ya.tapi kalo di semarang sini,gule kambing selalu berkuah kuning..bahkan ada yang kuning pucat banget kayak opor gitu..xixixixi--Suami selalu request daging harus sangat juicy+empuk..jadi gampang lepas dari tulangnya..--",143,/id/resep/669091-gulai-kambing-enakkk-ala-semarang,"bawang putih, bawang merah, daun salam, serai, cabe, rawit, ketumbar, bubuk, merica, garam, gula, jahe, kunyit, kaldu, daun jeruk,  air , lengkuas, santan, kemiri, daging, cengkeh, kambing, jinten"
Tongseng Kambing (no santan),"1 kg daging kambing--3 lembar daun salam--5 lembar daun jeruk--3 cm lengkuas, geprek--3 cm jahe, geprek--2 batang serai, geprek--secukupnya Garam, penyedap dan gula--1 sdm kecap manis--1-2 buah tomat, iris--1 mangkuk kol diiris tipis--10-15 buah cabe rawit merah (potong kasar)--2000 ml air (sesuai selera)--Bumbu halus:--10 siung bawang merah--5 siung bawang putih--1 sdt merica--10 buah cabe merah keriting (sesuai selera)--3 cm kunyit--5 buah kemiri--Acar:--1 buah wortel, potong dadu--2 buah timun, potong dadu--5 siung bawang merah, potong kasar--20 buah cabe rawit hijau--secukupnya Air, gula, garam dan cuka--","Tumis bumbu halus beserta jahe, lengkuas, serai dan daun2an. Tumis sampai harum--Masukkan daging kambing yg sudah dicuci bersih dan dipotong2 sesuai selera. Aduk bersama bumbu, masak sebentar--Tuangkan air lalu aduk rata. Masak sampai daging empuk--Setelah hampir matang masukkan kol, tomat dan cabe rawit. Bumbui dan test rasa. Masak lg sampai daging empuk--Kalo air berkurang banyak..boleh tambah lagi lalu masak dan test rasa sampai okee rasa dan kematangan/keempukan daging--Campur semua bahan acar lalu aduk rata. Cabe raqit hijau biarka utuh saja. Lebih enak didiamkan dulu supaya merasuk acarnya.--Sajikan tongseng dengan acarnya... ingat tensi yaa klo makan kambing 😉--",126,/id/resep/3279579-tongseng-kambing-no-santan-kitaberbagi,"bawang putih, bawang merah, daun salam, serai, cabe, rawit, merica, garam, gula, jahe, kunyit, daun jeruk,  air , kecap, lengkuas, kemiri, tomat, penyedap,  kol , cuka, timun, wortel, daging, kambing"
Nasi Briyani Simple,"500 g daging sapi atau ayam atau kambing juga boleh, potong dengan ukuran sedan. Cuci bersih--400 g Beras Basmati, rendam selama 30 menit, cuci bersih dan tiriskan--1 Buah Bawang Bombay, potong dadu kecil-kecil--4 cm jahe--Secukupnya garam--Secukupnya minyak samin, bisa diganti dengan mentega--Bumbu yang dihaluskan:--10 siung Bawang putih--1 ruas kunyit--1/4 biji Pala--1 sdt ketumbar--1/2 sdt jinten--Bumbu Langsung Cemplung:--1/2 sdt Bubuk merica--1 sdt kayu manis bubuk--3 btr bunga lawang--4 btr cengkeh--5 buah cabe hijau besar, belah--6 buah Kapulaga--2 tangkai daun mint--1 Tomat Merah, belah 2--2 Cube kaldu blok--1 ruas Lengkuas, geprek--Pelengkap Nasi:--Sejumput Saffron--Secukupnya Kismis--Acar--Daun Parsley, rajang halus--Kacang mede atau kacang goreng--","Siapkan semua bahan-bahannya.--Masak air sekitar 2 liter. Biarkan mendidih. Setelah itu masukan irisan dagingnya. Selanjutnya masukan jahe yang sudah digeprek. Tambahkan sejumput garam. Rebus dengan api kecil hingga daging empuk. Usahakan airnya dijaga jangan sampai terlalu asat ya. Jika air sudah asat dan daging masih kurang empuk, bisa ditambahkan lagi airnya sampai benar-benar empuk. Tapi kalau sudah empuk, pastikan air rebusannya masih tersisa kurleb 1 liter. Jangan lupa test rasa garamnya sudah pas atau belum.--Jangan lupa juga, ulek semua bumbu yang dihaluskan sampai lembut. Sisihkan.--Selanjutnya, di wajan terpisah, panaskan secukupnya minyak samin untuk menumis (kira-kira 3-4 sdm. Tumis bawang bombay dan bawang putih geprek sampai harum.--Masukkan bumbu yang sudah dihaluskan, tumis lagi sampai harum. Lalu masukan semua bumbu yang dicemplung. Aduk sampai tercampur rata. Matikan api.--Setelah itu masukkan bumbu tumisan tadi kedalam rebusan daging tadi. Aduk-aduk kembali sampai rata. Masak lagi dengan api kecil selama kurang lebih 1 jam agar bumbu meresap. Ingat jika airnya mulai menyusut kurang dari 1 liter, maka tambahkan lagi airnya. Jika dirasa sudah meresap dan daging sudah berasa bumbunya, segera matikan api.--Selanjutnya, dengan menggunakan saringan besar, saring rebusan daging tadi. Ambil semua daging, sisihkan. Untuk residu bumbu yang tersisa silahkan dibuang saja ya. Sementara kaldunya dipakai untuk memasak berasnya.--Cara memasak beras: tuang 3 gelas air kaldu tadi ke dalam panci (sekitar 750 ml). Rebus sampai mendidih. Jika dirasa kurang asin. Tambahkan lagi sedikit garam. Karena untuk memasak berasnya, garam harus ditambahkan lagi agar nantinya berasa (sama halnya seperti nasi uduk). Lalu masukkan beras.--Pastikan posisi beras 1 ruas jari lebih rendah dari jumlah air ya (diukur pake ruas jari tangan). Jadi kalau airnya kurang bisa ditambahkan lagi dengan air panas (atau air kaldunya jika masih ada). Dan jika terlalu banyak silahkan dikurangi lagi. Tutup panci. Masak dengan api kecil. Kalau air sudah asat segera buka tutup panci.--Lalu tutup kembali panci rapat-rapat dengan menggunakan alumunium foil. Pastikan jangan sampai ada lubang. Setelah itu baru ditimpa lagi dengan tutup pancinya. Masak lagi dengan api kecil.--Kalau terlihat tutup pancinya sudah sedikit berasap, bisa dipastikan nasinya sudah hampir masak. Nah, kalau sudah hampir masak, kita buka dulu alumunium foilnya sebentar, lalu tepat ditengah-tengah nasi di bagian atas kita gali dengan centong, cukup satu centong saja, nasinya kita ambil. Lalu masukkan kismis dan sejumput Saffron tepat ditengah tadi.--Tutup lagi lubang dengan nasi tadi. Ratakan.--Tutup lagi dengan alumunium foil sampai rapat. Timpa dengan tutup pancinya. Masak lagi sampai nasi benar-benar matang dan pulen. kalau sudah pulen, kita buka, maka nasi yang di tengah itu akan berwarna merah. Kita aduk-aduk menggunakan sendok ya biar rata, tapi tetap ditengah bagian atas aja. Gak perlu diaduk sampai ke bawah. Setelah itu tutup lagi agar tetap hangat. Dan nas sudah siap disajikan.--Note: alumunium foil di sini fungsinya agar tekstur nasi cepat matang dan pulen. Juga tidak membuat tekstur nasi terlalu matang (patah-patah). Selain itu kita tidak perlu repot-repot mengukus nasinya. Kalau nasi sudah matang, waktunya menyajikan nasi Biryani.--Cara menyajikannya. Tempatkan nasi yang sudah matang di nampan besar.--NOTE: untuk nasi yang berwarna kuning kemerahan karena terkena saffron kita tempatkan dulu di piring. Begitu juga kismisnya kita sisihkan dulu.--Lalu taruh semua daging tepat ditengah nampan. Selanjutnya nasi berwarna kuning kemerahan tadi kita taburkan di sekeliling daging sampai habis. Begitu juga kismisnya.--Taburi dengan irisan daun parsley dan kacang mede atau kacang Arab kalau ada. Jangan lupa juga sajikan dengan acar.--Untuk cara membuat acarnya: wortel iris dadu, timun iris dadu, bawang merah iris dadu, cabe iris kecil, sejumput gula halus, sedikit garam, lalu 1 sdm perasan lemon. Aduk rata.--NOTE: Jika menggunakan daging ayam, sebaiknya ayamnya cukup dibelah dua. Karena saat disajikan, akan lebih nikmat jika ayamnya dipanggang dulu sebelum disajikan dengan nasinya. Sebelum dipanggang, lumuri ayam dengan saus tomat. Cara membuat sausnya: 2 sdm pasta tomat dicampur dengan 3 siung bawang putih parut, lalu 1 sdm air perasan lemon, 2 sdm minyak zaitun, aduk rata, jika suka pedas bisa ditambahkan bubuk cabe.--Balurkan ke permukaan ayam sampai rata. Panggang sampai merah kecokletan. Dijamin nampol, nikmat.--Tips and Trik Membuat Nasi Briyani: Memasak nasinya juga bisa menggunakan rice cooker ya. Caranya sama dengan memasak nasi biasa hanya saja air yang digunakan tentu saja air kuah dari rebusan daging. Jangan lupa, rendam dulu selama 30 menit agar hasil lebih enak dan pulen.--Jika ingin lebih cepat saat memasak daging, kita juga bisa menggunakan panci presto. Jadi setelah bumbu ditumis, langsung saja campurkan daging dan bumbu lalu masak dengan panci presto. Masak dengan api kecil selama 20-25 menit. Jika daging ayam, cukup 15 menit saja sudah empuk.--Nasi Briyani dengan menggunakan beras lokal bisa gak? Bisa banget.. cara memasak berasnya sama ya. Direndam dulu juga agar hasilnya cepat matang dan pulen. Ini dia penampakan nasi Briyani dengan beras lokal dan daging Kambing. Nyoos enaknya..--Selamat mencoba...--",105,/id/resep/3163517-nasi-briyani-simple-ala-mamah-mumtaz,"ayam, bawang putih, cabe, minyak, ketumbar, bubuk, merica, garam, jahe, kunyit, kaldu, bawang bombay, mentega, kacang, nasi, lengkuas, sapi, tomat, daging, cengkeh, beras, kambing, jinten, kapulaga"
Tahu Buncis Kuah Santan,"25 batang buncis, iris serong tipis--10 tahu pong, @potong 4--15 buah cabai rawit setan utuh--4 lembar daun jeruk,buang tulang daunnya--1 batang serai uk. besar, memarkan--3 iris lengkuas, memarkan--1 sdt bumbu kari kambing--secukupnya garam, gula, merica, kaldu bubuk sapi (sy pk non msg)--500 ml air--80-100 ml santan instant--secukupnya minyak sayur untuk menumis--secukupnya bawang goreng untuk taburan--Bumbu yg dihaluskan :--5 siung bawang merah--3 siung bawang putih--2 ruas jari kunyit tua--3 butir kemiri--","Goreng tahu pong sampai kering, angkat, tiriskan, sisihkan.--Didihkan air dalam panci. sambil menunggu air mendidih tumus bumbu yg dihaluskan sampai harum, masukan batang serai, lengkuas dan daun jeruk. tumis sampai matang lalu beri sedikit air, aduk rata. Kemudian masukan kedalam air yg mendidih. aduk rata kembali.--Masukan santan, garam, gula, merica bubuk, kaldu bubuk sapi (sy pk yg non msg). Aduk rata. Lalu masukan irisan buncis, tahu goreng dan cabai rawit setan, aduk rata kembali. Masak sebentar saja. Tes rasa. Angkat. Siap disajikan sebagai teman makan nasi dengan taburan bawang goreng. Dipadankan dengan telur ceplok alhamdulillah enak 👌👍. Lebih enak kayaknya klo dimakan sama lontong atau ketupat deh 😊.--",103,/id/resep/1659892-tahu-buncis-kuah-santan,"bawang putih, bawang merah, serai, cabai, rawit, minyak, bubuk, merica, garam, gula, kunyit, kaldu,  tahu , daun jeruk, lengkuas, sapi, bawang goreng, santan, kemiri, buncis, kambing,  kari"
Tahu Bulat Isi Daging | Lamb-Stuffed Round Tofu,"2 blok Tahu putih (kira-kira 500 gram)--1 butir Kuning Telur--secukupnya Kaldu dan garam--1/2 sdt Merica--1 ½ sdt Baking Powder  (Jika Double Action cukup 1 sdt)--Filling (Isian) :--Secukupnya Semur daging kambing, dipotong dadu--","Peras terlebih dahulu tahu putih dengan kain bersih hingga tahu benar-benar kesat tanpa air.--Lalu buang airnya dari mangkok. Selanjutnya masukkan telur, semua bumbu juga baking powdernya. Aduk rata.--Bentuk bulat-bulat, isikan potongan daging semur kambing didalamnya. Lakukan hingga habis. NOTE: Satu resep bisa jadi 16-18 biji--Setelah habis, simpan dulu di kulkas minimal 3 jam.--Baru setelah itu digoreng dengan api kecil sambil diaduk-aduk. Goreng sampai permukaan kuning kecoklatan, kira-kira selama 20 menit.--Angkat,--Dan sajikan dengan saus kesukaan :)--Ternyata diisi keju juga enak :)--Yang dagingnya dibuat bakso, bisa juga nih bund dibuat isian tahu bulat. Rasanya nampoool :)--[PENTING] Info seputar tahu bulat>>> Tahu menjadi kopong karena penggunaan kuning telur. Karena itu jika telur dilewatkan maka tahu bulat menjadi kurang kopong, permukaan tahu bulat kurang licin, tapi untuk rasa tetap enak dan bisa kriuk. Pastikan saat memeras tahu, air benar-benar terbuang dari tahu. Jika kandungan air masih banyak, maka tahu menjadi susah kopong dan kurang kriuk.--Jika baking powder dilewatkan maka tahu tidak terlalu mengembang, bahkan terkadang bantat. Cuma untuk rasa jadi kurang kres-kres. Permukaan tahu juga jadi kasar dan tidak licin. Sementara tahu bisa melempes (kempes) lagi saat ditiriskan, itu karena menggorengnya kurang tanek (kurang lama). Karena itu, gorenglah dengan api kecil saja. Butuh waktu kira-kira 20 menit agar hasil tahu bulat tetap bulat licin saat disajikan.--Jika kita langsung menggoreng tahu tanpa disimpan dulu dikulkas, maka tahu menjadi rentan pecah dan meletus saat digoreng. Untuk hasil maksimal, agar tahu mengembang sempurna, gunakan baking powder yang masih aktif. Karena jika baking powder sudah rusak atau kadaluarsa maka tahu jadi bantat dan permukaan tahu kasar tidak licin.--Goreng dengan minyak terendam agar hasil tahu bulat maksimal dan tidak mudah gosong. Dan terakhir, saat membulatkan tahu, pastikan isian tahu tidak keluar yah, jadi harus benar-benar tersalut penuh. Jika isinya kelihatan dikit aja, nantinya jadi rentan meletus saat digoreng.--Demikian resep tahu bulat yang dilengkapi dengan info seputar pembuatan tahu bulat agar sukses dan tidak gagal. Selamat mencoba yah...Semoga berhasil!--",87,/id/resep/960614-tahu-bulat-isi-daging-lamb-stuffed-round-tofu,"telur, merica, garam, kaldu,  tahu , daging, kambing"
Nasi Kabsah,"12 cup Beras Basmati, rendam 1 jam--1 kilo Daging sapi (harusnya kambing) di potong2 kecil--280 ml Pasta Tomat--24 buah Cabe merah--10 lembar Daun salam--10 batang Sereh--8 buah Cengkeh--10 buah Kapulaga--5 buah Bunga lawang--5 sdm Bumbu kari instan--1 sdm Garam Masala--1 sdm Kaldu bubuk--2 liter Air--secukupnya Gula dan garam--secukupnya Kismis--Bumbu dirajang halus :--30 siung Bawang merah--15 siung Bawang putih--2 Buah Bawang bombay--2 buah Tomat, rebus, potong kotak--","Tumis bumbu yang dirajang sampai harum, masukkan tomat, tumis hingga kental--Masukkan pasta tomat, daging, kaldu bubuk, bumbu kari, garam masala, aduk terua--Tambahkan air, salam, sereh, cengkeh, kapulaga, bunga Lawang hingga matang, beri gula dan garam, cicipi rasanya--Siapkan beras dalam baskom atau panci besar, masukkan kuah karinya, beri kismis, aduk rata, masak hingga airnya habis (seperti ngaron nasi biasa)--Kukus hingga matang. Angkat dan sajikan--",85,/id/resep/2649596-nasi-kabsah,"bawang putih, bawang merah, daun salam, sereh, cabe, bubuk, garam, gula, kaldu, bawang bombay, sapi, tomat, daging, cengkeh, beras, kambing, kapulaga,  kari"
Yogurt Handmade,"1 L susu murni (hewani lebih baik)--35 mL starter yogurt/ bisa pakai merk yummy plain (saya pakai kefir, saya dapatkan di peternakan kambing)--25 sdm Gula Pasir / opsional (sekedar netralisir rasa asam yogurt nantinya)--Glass Jar (volume disesuaikan porsi susu/ yogurt yg hendak dibuat)--Ice box (biasa disebut termos es)--Napkin--Air panas (secukupnya untuk inkubator)--","Siapkan glass jar / topless kaca yg sudah di-sterilisasi, biasanya direndam dalam air mendidih (saya cuma memanfaat kan uap panas magic com pas masak nasi) lalu sisihkan AWAS PANAS--Tuang susu ke dalam sauce pan (panci) masak diatas api sedang hingga berbuih. Angkat, sisihkan diamkan hingga temperaturnya menurun.--Selagi menunggu temperatur susu turun, pada tahap ini kita bisa fortifikasi susu kita dengan gula/ essence/ pewarna menurut keinginan. Jangan lupa masak air hingga bergelembung/ tak perlu hingga mendidih (kelamaan)--Setelah kira kira 10 menit cek temperatur susu, pastikan sudah hangat kuku namun tidak panas di telapak tangan. Setelah yakin hangat kuku barulah tuangkan starter yogurt (efeknya akan kelihatan setelah diaduk susu akan mengental)--Setelah tercampur merata tuangkan yogurt dalam glass jar tutup rapat, kemudian masukan dalam ice box dilapisi napkin (serbet).--Kemudian tuangkan air panas hingga membasahi napkin sekeliling glass jar di dalam ice box. Tutup rapat ice box kemudian diamkan hingga selama 12 jam.--Setelah 12 jam keluarkan dari ice box (angin angin bila masih terasa agak panas)bila sudah tidak panas baru bisa disimpan di kulkas. Enjoy your very own fresh handmade yogurt...--NOTICE : pemakaian gula adalah opsional (terserah anda mau brp banyak / ga pake gula) banyak yg complain pada saya krn resep ini terlalu manis sehingga asem yogurtnya kurang berasa. Saran saya jangan digulain, tambah madu aja sebelum dikonsumsi, jadi bisa diukur manisnya sesuai selera--NOTICE : saya sangat sarankan menggunakan starter yogurt dalam bentuk bactery pack/ yummy plain (ada ukuran cup biar ekonomis) karena pada resep ini menggunakan kefir yg kandungan bakterinya terbatas sekali/sedikit sehingga berpengaruh besar pada hasil akhir.--NOTICE : hasil akhir akan memiliki karakter kental (seperty cymori botolan) bukan creamy yah.. (silahkan mix resep dengan heavy cream kalo mau hasil akhir yg creamy / bisa disirukk dengan sendok)--NOTICE : hasil akhir ada genangan airnya? itu normal, silahkan diaduk hingga tercampur rata (gunakan piranti yg higienis)--NOTICE : hasil akhir gagal? terkadang keberhasilan datang setelah melewati banyak kegagalan.. resep yg menyertakan bakteri memang membutuh kan treat khusus dan kesabaran setingkat ibu.. (kok ibu???) iya krn ibu adalah manusia paling sabar yg dengan kesabarannya menumbuhkan cinta hingga kita besar... salam...--------",85,/id/resep/1309172-yogurt-handmade,"gula, ikan, susu, pete, kambing"
Kambing Pedas Gongso,1 kg daging kambing (bisa jg sapi)--Bumbu halus:--10 siung bawang merah--10 siung bawang putih--6 cabe merah besar--10 cabe rawit (atau sesuai selera)--3 cm kunyit--3 cm jahe--5 butir kemiri--1 sdt merica butir--Rempah rempah:--2 lembar daun jeruk--2 lembar daun salam--2 batang sereh (geprek)--2 cm lengkuas (geprek)--4 butir cengkeh--kayu manis (sedikit)--bumbu lain-lainnya:--3 sdm kecap manis--2 sdm saus tiram (boleh diskip jika tak punya)--1 sdm air asam yang kental--100 ml air / setengah gelas--sesuai selera gula jawa+garam+penyedap--1 buah tomat belah jadi empat--1/2 buah bawang bombay rajang kasar melingkar--minyak secukupnya utk menumis--,"Potong dadu daging kambing yg sudah dicuci dan dibersihkan, motongnya jangan tebal tebal ya biar cepat lunak.--Tumis bumbu halus hingga harum sambil diaduk aduk agar tidak gosong.--Masukkan rempah rempahnya, tumis hingga harum--Masukkan daging yg dipotong tadi, aduk aduk sekitar 4 menitan, sampai tercampur dengan bumbu.--Masukkan bumbu bumbu lainnya seperti kecap,gula jawa,garam,air asam,air biasa dan lain2nya. tutuplah wajan dan kecilkan api biarkan sampai daging matang dan air tadi benar2 menyusut, (pas ditutup wajan nya sambil sesekali dibuka dan diaduk aduk ya agar tidak gosong ya)--Masukkan potongan bawang bombay yg dipotong melingkar kasar, beserta tomat, jika suka tambahkan potongan cabe hijau, aduk aduk cepat dan sebentar saja atau sampai kelihatan agak layu.--Sajikan dengan nasi putih hangat dan lalapan.--Bikin lagi euiy.😉--",84,/id/resep/3257097-kambing-pedas-gongso-kitaberbagi,"bawang putih, bawang merah, daun salam, sereh, cabe, rawit, minyak, merica, garam, gula, jahe, kunyit, daun jeruk, bawang bombay,  air , saus, tiram, kecap, lengkuas, sapi, kemiri, tomat, penyedap, daging, cengkeh, kambing"
