Title,Ingredients,Steps,Loves,URL,Bahan
Nugget Tahu Ekonomis Anti Gagal,"5 buah tahu(1kg an) sy: sekitar 700g--1 butir telur--4 siung bawang putih, haluskan--1/2 bks ladaku--Secukupnya garam(sy: garam di skip)--2 bks royco sapi(sy: 1 bks)--2 buah wortel,kupas kulitnya, lalu parut--1 btg daun bawang, iris halus--Bahan pelapis:--Secukupnya telur, kocok lepas--Secukupnya tepung roti/panir/bread crumb--","Cuci tahu dan tiriskan. Agar saat digoreng tidak rapuh atau nyemek.--Haluskan tahu, lalu beri semua bumbu kecuali bahan pelapis. Aduk rata.(bisa koreksi rasa ketika telur belum ditambahkan, garam bisa disesuaikan karna setiap tahu ada yg asin dan tawar)--Oles cetakan dengan minyak sayur. Masukkan adonan tahu lalu kukus selama 35 menit atau sampai matang. Tutup kukusan dilapisi serbet agar air tidak menetes.--Setelah matang tunggu hingga dingin.--Setelah dingin potong2. Siapkan bahan pelapis. Celupkan ke telur lalu ke tepung roti lakukan sampai habis. Nugget bisa langsung digoreng atau disimpan di frezzer. Sebaiknya menyimpan nugget tidak ditumpuk apabila ditumpuk alasi dengan kertas minyak/kertas roti agar tidak lengket.--Goreng di api sedang. Lakukan satu balikan bila satu sisi sudah kering. Agar tidak menyerap banyak minyak.--Sajikan hangat dengan saus sambal😄. Lebih enak lagi bila ditambah keju dan kornet😍. Next time dicoba pakai keduanya😊.--",9,/id/resep/4448501-nugget-tahu-ekonomis-anti-gagal,"bawang putih, telur, tepung, daun bawang, garam, royco, lada, roti, sapi, panir, wortel, tahu"
Tahu Petis musim ujan,"1 sdm petis--2 bh cabe rawit,rajang--2 bwg pth,rajang halus--4 bwg mrh,rajang halus--Secukupnya garam--1/2 sdt maizena,larutkan dg 100 ml air--","Siapkan bahan2--Goreng tahu smp matang..sementara itu kita rajang halus bumbu/diuleg jg boleh..--Siapkan minyak dwajan ±3 sdm,masukkan bumbu & petis,aduk rata. Biarkan smp harum. Lalu masukkan larutan maizena,aduk lg.. Icip smp dpt rasa yg pas.. Sajikan dgn tahu goreng... Sedapp--Drpd beli dluar,mending bkin sndiri yuk,rempong sdkit gpp demi kluarga trsayang..--",9,/id/resep/4472947-tahu-petis-musim-ujan,"maizena, cabe, rawit, garam"
Martabak Tahu Kulit Lumpia,12 Lembar Kulit Lumpia--4 Buah Tahu Putih--2 Batang Daun Bawang (Iris Halus)--1 Batang Daun Seledri (Iris Halus)--3 Butir Telur--1 Sdm Tepung Terigu + 2 Sdm Air (sebagai lem kulit lumpia)--Secukupnya Minyak Goreng untuk menggoreng--Bumbu Halus :--3 Buah Bawang Merah--2 Siung Bawang Putih--1/2 Bungkus Lada/ Merica Bubuk--Secukupnya Garam--Secukupnya Gula--,"Haluskan Tahu Putih, lalu campur semua bahan (kecuali kulit lumpia dan minyak), uji rasa sisihkan--Ambil 1 lembar kulit lumpia, beri 1 Sdm Adonan tahu di tengahnya, lalu lipat (seperti amplop) lipat dengan rapi, lalu beri lem disetiap sisinya. (lakukan bertahap hingga kulit dan adonan habis)--Panaskan minyak diatas wajan dengan api sedang cenderung kecil, goreng martabak hingga matang dan berubah warna, angkat dan tiriskan.--Martabak Tahu Kulit Lumpia siap dihidangkan.--Selamat mencoba guys, semoga bermanfaat 😁👌, salam Baking dari saya.--",70,/id/resep/4456750-martabak-tahu-kulit-lumpia,"bawang putih, telur, tepung, terigu, bawang merah, daun bawang, minyak, bubuk, merica, garam, gula,  tahu , lada,  air , seledri, tahu"
Kikil tahu sambal,1/4 kikil--3 buah tahu putih/ tahu kuning--15 buah cabai merah--1 siung kecil bawang putih--4 siung bawang merah--5 buah cabai hijau--2 buah tomat--secukupnya Garam--secukupnya Air--Minyak untuk menggoreng--,"Rebus kikil terlebih dahulu--Blender bawang merah 3 siung, bawang putih, cabai merah dan tomat--Iris serong cabai hijau. Iris 1 siung bawang merah.--Angkat kikil, potong dan sisihkan.--Goreng tahu, angkat dan tiriskan.--Panas kan minyak, masukan bawang merah yang sudah diiris, masukkan bumbu cabai yang sudah diblender, dan masukan cabai hijau yang sudah di iris. Masak selama 3 menit, lalu masukkan kikil, tambahkan air sedikit, dan garam secukupnya. Masak lagi hingga air habis, masukkan tahu, aduk.--",9,/id/resep/4470093-kikil-tahu-sambal,"bawang putih, bawang merah, cabai, minyak, garam,  tahu , tomat, tahu"
Pepes Tahu Kemangi,"20 bh tahu putih--1 genggam daun kemangi, cuci, tiriskan--secukupnya Garam--1/2 sdt Kaldu bubuk (sy pakai masako)--Daun pisang--Tusuk gigi--Secukupnya daun salam--2 btg serai, putihnya saja, iris2--Bumbu halus :--10 siung bawang merah--5 siung bawang putih--5 bh cabe merah keriting--5 bh cabe rawit merah--","Hancurkan tahu, aduk dengan garam, kaldu bubuk, bumbu halus dan daun kemangi. Koreksi rasa.--Taruh campuran tahu ke daun pisang, beri daun salam dan serai. Bungkus dan sematkan dgn tusuk gigi--Kukus tahu sekitar 40 menit--Angkat dan panggang pepes ketika akan disantap--Pepes tahu siap dinikmati--",9,/id/resep/4467794-pepes-tahu-kemangi,"bawang putih, bawang merah, daun salam, serai, cabe, rawit, bubuk, garam, kaldu,  tahu , kemangi, daun pisang, tahu"
Oseng Tahu Campur,"4 potong Tahu kuning (potong dadu kecil)--Semangkuk Jamur Tiram suwir--Semangkuk Tauge (bersihkan)--10 bj Pentol Bakso (sy pentol uk kecil2)--200 gr Daging ayam (sy bag.dada, sy iris dadu)--1 btg Daun Bawang iris--5 bj Cabe merah keriting iris serong--8 bj Cabe rawit iris serong--sesuai selera Gula, garam, lada bubuk, kaldu bubuk--1-2 sdm Kecap manis Bango--secukupnya Air--° Bumbu uleg :--4 siung Baput--6 siung Bamer--1 bj Kemiri--","Siapkan semua bahan, panaskan sckupnya minyak, tumis bumbu uleg dan cabe iris sampai harum dan layu. Masukkan daging ayam. Masak hingga berubah warna, beri air ssuai selera--Masukkan tauge dan jamur. Bumbui gula, garam, lada, kaldu bubuk.--Masukkan tahu, lalu pentol bakso. Terakhir daun bawang. Koreksi rasa. Bisa tambahkan kecap manis utk pemantap. Masak sampai tanak, sajikan :)--",9,/id/resep/4464003-oseng-tahu-campur,"ayam, daun bawang, cabe, rawit, bubuk, garam, gula, kaldu,  tahu , lada, tiram, kecap, jamur, kemiri, tauge, daging, bakso, tahu"
Tahu rambutan,300 gr tahu putih--30 gr tepung terigu serbaguna--3 siung bawang putih--1/2 sdt garam--1 sdt Gula pasir--1/4 sdt merica /lada bubuk--1/4 sdt royco ayam--10 butir telur puyuh--secukupnya Minyak goreng--,"Bahannya: rebus dlu telur puyuhnya, dan haluskan bawang putih dan garam, sampai halus, masukkn lada bubuk,gula pasir, royco ayam aduk rata sisihkan. Dan haluskan tahu putih sampai halus.--Remas2 mienya. Sisihkan. Tahu yg sdh di haluskan tambahkan bumbu yg sdh di haluskan tadi, aduk hingga rata tambahkan tepung terigu aduk rata. Dan siap di bikin. Cuci tangan 👐 bersih.ambil 2 sdm tahu pipihkan di tangan masukkn 1 butir telur puyuh kemudian tutup dan bulatkan, gulingkan ke dlm mie yg sdh di remas2 tadi. Lakukan hingga adonan habis.--Seperti gambar. Besar/kecil sesuai selera.--Siapkan wajan beri minyak goreng secukupnya tunggu minyak panas masukkn adonan beberapa biji. Goreng dng api kecil saja. Sambil di bolak balik biar matangnya rata. Kalau sdh matang angkat dan tiriskan.--Siapkan piring saji, masukkn tahu rambutan nya, siap di nikmati. Cocol dng saus sambal 👍 enk.--Selamat mencoba 😘--",10,/id/resep/4462144-tahu-rambutan,"ayam, bawang putih, telur, tepung, terigu, minyak, bubuk, merica, garam, gula, royco,  tahu , lada, puyuh, tahu"
Opor Ayam Tahu,"1 kg ayam broiler, kukus--5 buah tahu, potong 2 segitiga--7 siung bawang merah--5 siung bawang putih--6 butir kemiri--2 ruas lengkuas--1 ruas kunyit--2 lembar daun salam--1 batang serai--1/2 sdt lada bubuk--1/2 sdt ketumbar bubuk--secukupnya garam, gula dan kaldu jamur--1 sachet santan instant--minyak utk menumis--","Cuci bersih ayam, kemudian kukus hingga matang (tidak ada darahnya). Ini karena saya pakai ayam broiler, utk menghilangkan lemak-lemaknya--Cuci bersih tahu, rebus sebentar, kemudian goreng hingga berkulit.--Haluskan bumbu kecuali daun salam dan lengkuas. Tumis hingga harum dan bumbu matang. Tambahkan air sedikit supaya sari bumbu keluar. Beri lada bubuk dan ketumbar bubuk. Aduk rata.--Masukkan ayam, tambahkan air hingga ayam terendam. Kira-kira air sudah agak menyusut, masukkan santan instant. Aduk rata agar santan tidak pecah--Masukkan tahu, beri garam, gula dan sedikit kaldu jamur. Aduk rata. Angkat dan sajikan :)--Note: pastikan menumis bumbu hingga benar-benar tanak supaya tidak ada ""aroma langu"" bumbu mentah...--",40,/id/resep/4388145-opor-ayam-tahu,"ayam, bawang putih, bawang merah, daun salam, serai, minyak, ketumbar, bubuk, garam, gula, kunyit, kaldu, lada, jamur, lengkuas, santan, kemiri, tahu"
Bakwan tahu teri nasi,5 tahu putih (haluskan)--2 butir telor--1 bungkus tepung bakwan merek sajiku--1 batang daun bawang--1 bungkus teri nasi--,"Tahu putih dicuci lalu haluskan sisihkan--Masukkan tepung bakwan kedalam wadah mangkok serta masukkan tahu, telor, teri nasi, irisan daun bawang aduk rata--Panaskan minyak lalu goreng bakwan secara satu persatu hingga kuning kecoklatan--Setelah kuning kecoklatan angkat lalu sajikan kedalam piring--Selamat mencoba--",17,/id/resep/4465348-bakwan-tahu-teri-nasi,"tepung, daun bawang,  tahu , nasi, tahu, telor"
Tahu Aci khas Slawi/Tegal,10 buah tahu kuning--10 sdm tepung sagu--5 sdm tepung terigu--2 batang daun bawang(iris tipis)--Secukupnya air panas--Bumbu halus :--3 siung bawang putih--1 sdt ketumbar--Secukupnya garam--Secukupnya penyedap(opsional)--,"Potong tahu serong/diagonal,jd membelah 2. Keruk tengah sedikit, kalo saya di kerat piso trus coel keluar dikit2. (Nnti sisa kerokan tahunya bisa dicampur adonan)--Campur semua tepung, bawang,isian sisa tahu dan bumbu halus, lalu tambahkan air panas sedikit demi sedikit hingga adonan bisa dipulung(jangan tllu cair)--Panaskan minyak, lalu ambil adonan dengan garpu, lalu ratakan dengan punggung garpu. Goreng hingga kuning kecoklatan,lakukan hingga semua adonan habis, tiriskan. Sajikan dengan cocolan kecap+rawit,yummy--",31,/id/resep/4454706-tahu-aci-khas-slawitegal,"bawang putih, tepung, terigu, daun bawang, ketumbar, garam,  tahu ,  air , penyedap, tahu"
