Title,Ingredients,Steps,Loves,URL,Bahan
Penyet Tempe Sambel Korek Kemangi,2 buah tempe--1 genggam Daun kemangi--15 cabe rawit--2 siung bawang putih--Gula--Garam--,"Iris tempe jd beberapa potong, bumbui dg bawang putih dan garam. Goreng sampai kering--Ulek cabe rawit dan 1 siung bawang putih ukuran besar tambah gula garam sesuai selera--Setelah halus tuang minyak goreng panas bekas goreng tempe td--Penyet tempe diatas sambel dan beri daun kemangi--Tempe penyet siap disantap 😋😋😋--",8,/id/resep/4473809-penyet-tempe-sambel-korek-kemangi,"bawang putih, cabe, rawit, garam, gula, tempe, kemangi"
Nugget tempe,"1 papan tempe dihaluskan(saya kukus dlu)--1 buah wortel (parut kasar)--2 batang daun bawang (di iris kasar)--1 butir telur--3 butir bawang merah (di iris lalu di goreng)--3 butir bawang putih (di haluskan)--5 sdm tepung terigu--Secukupnya garam,lada & penyedap rasa--secukupnya Tepung panir--secukupnya Minyak goreng--","Campur tempe,wortel,daun bawang & bumbu yg sudah dihaluskan,beri garam,lada & penyedap rasa,tes rasa lalu masukkan telur--Bentuk adonan sesuai selera lalu gulingkan di tepung panir--Goreng hingga matang--Sajikan dengan saos sambal--",8,/id/resep/4473715-nugget-tempe,"bawang putih, telur, tepung, terigu, bawang merah, daun bawang, minyak, garam, tempe, lada, panir, penyedap, wortel"
Patty Tempe,"250 gram tempe, kukus, haluskan--150 gram daging sapi/ ayam (sy: 200 gr daging sapi)--5 sdm tepung panir (sy: tepung kobe putih)--2 butir telur--1 buah bawang bombay ukuran sedang, potong kotak kecil--4 siung bawang putih, memarkan lalu cincang--1/4 sdt merica bubuk--1/2 sdt garam--","Ini tepung kobe putih yg sy pakai.--Campur semua bahan dalam wadah.--Ulen hingga semua tercampur rata. Adonan menjadi padat. Tes rasa.--Bentuk bulat lalu pipihkan. Timbang per adonan bila perlu.--Siapkan teflon, beri 2 sdm minyak goreng, panaskan. Masukkan adonan. Masak hingga bagian bawah adonan kecoklatan, lalu balik, masak kembali hingga kecoklatan. Angkat, dinginkan, siap untuk isian burger. Atau mau dimakan gitu aja di cocol saus sambal jg enakkk.--Bila akan di simpan di freezer, sebaiknya panggang di teflon setengah matang, biarkan dingin, lalu masukkan dalam wadah tertutup atau plastik. (sengaja sy simpan 1 buah selama 2 minggu, setelah di goreng ttp oke rasanya).--Selamat Mencoba 😃--",9,/id/resep/4469642-patty-tempe,"ayam, bawang putih, telur, tepung, bubuk, merica, garam, tempe, bawang bombay, sapi, panir, daging"
Tumis Kacang Panjang Tempe,"1/2 ikat kacang panjang (potong lalu cuci bersih)--2 papan tempe ukuran sedang (potong,lalu goreng sebentar)--Tomat (iris)--Gula (secukupnya)--Garam (secukupnya)--Minyak goreng (secukupnya)--2 sdm ikan teri (cuci bersih)--Bumbu iris :--1 buah bawang bombay--2 siung bawang merah--4 siung bawang putih--15 buah cabe rawit (bisa dikurangi sesuai selera)--5 buah cabe merah kriting--","Panaskan minyak lalu tumis bumbu iris sampai layu--Lalu masukkan kacang panjang aduk rata--Masukkan tempe,tomat,gula,dan garam. Cicipi sampai rasanya pas dan sesuai selera. Masak sampai matang dan bumbu meresap. Angkat lalu sajikan--",19,/id/resep/4471476-tumis-kacang-panjang-tempe,"bawang putih, bawang merah, cabe, rawit, minyak, garam, gula, tempe, bawang bombay, kacang, ikan, tomat"
Sate Tempe... yummy.. max,1 lonjor tempe.. potong dadu--Bumbu bakar--6 siung bawang putih--8 siung bawang merah--1 sdm merica--2 sdm ketumbar--2 sdm gula pasir--1 ons gula merah sisir--1 sachet kaldu ayam--Garam--Kecap manis--2 sdm maizena--,Potong tempe dadu.... goreng sampai kecoklatan... tiriskan--Haluskan bumbu.. kecuali meizena dan kecap. Rebus di wajan dengan menambahkan 100 ml air atau secukupnya pemirsah sesuai selera.. mau kental banget atau cair.. jika suka cair air bisa ditambahkan jadi 1 gelas.. aduk rata..--..... setelah mendidih... tambahkan kecap.. dan meizena yg tlah dicairkan... aduk rata...tes rasa... jika sudah siiip... langsung bisa oles2--Tusuk tempe... bisa selang seling dengan potongan mentimun tomat cabe.. dan bawang bombay atau bawang merah... oles dgn bumbu bakar.. atau celupkn tusukan tempe pada bumbu bakar--Panggang diatas bara.. sampai matang--Siap dihidangkan.. dgn taburan cabe dan irisan bawang merah--Kucuri dengan kecap manis... saya pakai kecap bango pemiRsah.. bukan iklan lho--😋😋😋--Noted. sblm dibakar diatas bara.. aning oven dulu sate yg siap bakar di oven listrik memakai api atas suhu 200 darcel terlebih dulu... selama 15 menit supaya bumbu meresap.. baru dibakar diatas bara--,100,/id/resep/4466361-sate-tempe-yummy-max,"ayam, bawang putih, maizena, bawang merah, ketumbar, merica, garam, gula, kaldu, tempe, kecap"
Tumis tempe kacang panjang,"5 buah kacang panjang, potong-potong--1 papan tempe ukuran kecil potong korek--2 lembar daun salam--1 ruas jari lengkuas, geprek--3 buah cabe merah keriting, iris serong--4 buah bawang merah, iris tipis--2 buah bawang putih, iris tipis--1 buah tomat, potong jadi 8 bagian--1 sdm saos tiram--Secukupnya kecap--Secukupnya gula, garam--Secukupnya air dan minyak--","Goreng tempe hingga kuning keemasan, angkat, sisihkan.--Panaskan sedikit minyak, tumis cabe merah, bawang merah, bawang putih dan daun salam, tumis hingga wangi. Masukan kacang panjang, tumis hingga layu lalu tambahkan sedikit air.--Tambahkan bumbu-bumbu, saos tiram, kecap, gula, garam lalu aduk rata. Masukan tomat, tempe yang telah digoreng, aduk rata, tes rasa. Jika sudah pas, tunggu hingga matang dan air menyusut. Angkat, sajikan.--",25,/id/resep/4466372-tumis-tempe-kacang-panjang,"bawang putih, bawang merah, daun salam, cabe, minyak, garam, gula, tempe, kacang,  air , saos, tiram, kecap, lengkuas, saos, tomat"
Tempe Goreng Telur,"1 papan tempe uk kecil--1 butir telur--2 sdm tepung terigu--Secukupnya bawang putih bubuk--Secukupnya garam, kaldu bubuk, merica--","Potong2 tempe memanjang spt stick, lalu kukus -+ 10 mnt, sisihkan--Campurkan bawang, garam, kaldu bubuk, merica aduk rata, tambahkan telur aduk rata, terakhir tambahkan terigu aduk biarkan bergerindil--Panaskan minyak, gulingkan satu persatu tempe di adonan telur, lalu masak sampai kecoklatan, tiriskan, sajikan hangat--",52,/id/resep/4465931-tempe-goreng-telur,"bawang putih, telur, tepung, terigu, bubuk, merica, garam, kaldu, tempe"
Nasi Liwet Tempe bacem,20 potong tempe--500 ml air kelapa--1 buah gula merah--1 sdt garam--Sdikit kaldu bubuk--2 lbr daun salam--1 vatang serai--1 ruas lengkoas--Minyak u menggoreng--Bumbu halus:--5 siung bamer--2 siung baput--1 sdt ketumbar--3 butir kemiri--,Campur tempe air kelapa dan bumbu halus dan salam sereh lengkoas gula garam fan kaldu bubuk. Sampai air menyusut. Lalu goreng dengan api kecil. Selamat masak.--,8,/id/resep/4464859-nasi-liwet-tempe-bacem,"daun salam, serai, minyak, ketumbar, bubuk, garam, gula, kaldu, tempe,  air , kemiri"
Nugget tempe keju,400 gr tempe--200 gr daging ayam giling--4 sdm terigu--2 siung bawang putih haluskan--2 btr telur--1 sdt garam (blh lbh)--1/2 sdt merica bubuk (blh skip)--1 sdt penyedap rasa sapi--60 gr keju parut--Sckup nya daun bawang Iris halus (blh skip)--💞 pelapis 💞--4 Btr telor kocok--Seckup nya Breadcrumb--,"Campur semua bahan, tuang dloyang yg d oles minyak dl.. Kukus 25 mnit smpe matang. Dinginkan, potong2, celup d pelapis (kocokan telur - bread crumb)--Selamat mencoba 😂😂--",24,/id/resep/4463068-nugget-tempe-keju,"ayam, bawang putih, telur, terigu, daun bawang, bubuk, merica, garam, tempe, sapi, keju, penyedap, daging, telor"
Orek tempe,"1 papan tempe--Bumbu :--4 biji cabe--3 siung bawang merah--1 siung bawang putih--secukupnya Kecap manis--secukupnya garam, micin, royco--","Langkah membuat.potong2 tempe menurut selera. Setelah itu goreng tempe sampk coklat. Setelah itu haluskan bumbu setelah siap semua goreng bumbu halus sampai harum setelah itu beri garem,micin,roico aduk2 dan masukan tempe beri kecap aduk2 kembali.lalu angkat--",14,/id/resep/4461619-orek-tempe,"bawang putih, bawang merah, cabe, garam, micin, royco, tempe, kecap"
